Production_ID,Date,Shift,Machine_ID,Operator_ID,Production_Line,Planned_Time_mins,Downtime_Minutes,Operating_Time_mins,Total_Pieces,Defective_Pieces,Ideal_Cycle_Time_mins_per_piece,Failure_Flag,Failure_ID,Air_Temperature_K,Process_Temperature_K,Humidity_Percentage,Energy_Consumption_kWh,Target_Production,Actual_Production,Overtime_Minutes
PROD00081,2024-03-21,Night,M001,OP005,Line 1,480,5,475,913,27,0.5,0,F000,302.23,314.09,50.3,46.02,864,913,0
PROD00082,2024-03-23,Morning,M001,OP010,Line 1,480,5,475,906,18,0.5,0,F000,299.72,310.62,72.4,37.85,864,906,0
PROD00083,2024-03-23,Afternoon,M001,OP013,Line 1,480,13,467,857,17,0.5,0,F000,296.78,307.91,54.4,33.93,864,857,1
PROD00084,2024-03-23,Night,M001,OP002,Line 1,480,5,475,809,24,0.5,0,F000,294.93,307.81,57.9,32.42,864,809,13
PROD00085,2024-04-02,Morning,M001,OP005,Line 1,480,7,473,922,18,0.5,0,F000,293.42,306.97,61.1,30.73,864,922,0
PROD00086,2024-04-02,Afternoon,M001,OP005,Line 1,480,8,472,913,18,0.5,0,F000,306.08,320.2,52.6,37.99,864,913,0
PROD00087,2024-04-02,Night,M001,OP018,Line 1,480,9,471,797,23,0.5,0,F000,292.23,302.6,62.7,40.39,864,797,16
PROD00088,2024-04-04,Morning,M001,OP010,Line 1,480,5,475,895,17,0.5,0,F000,301.51,314.83,69.9,28.46,864,895,0
PROD00089,2024-04-04,Afternoon,M001,OP002,Line 1,480,11,469,838,16,0.5,0,F000,303.46,317.57,52.7,41.13,864,838,6
PROD00090,2024-04-04,Night,M001,OP006,Line 1,480,2,478,842,25,0.5,0,F000,302.47,313.48,44.8,36.12,864,842,5
PROD00091,2024-04-06,Morning,M001,OP009,Line 1,480,2,478,925,18,0.5,0,F000,298.37,312.76,40.7,37.09,864,925,0
PROD00092,2024-04-06,Afternoon,M001,OP019,Line 1,480,14,466,837,16,0.5,0,F000,298.48,308.49,56.9,28.89,864,837,6
PROD00093,2024-04-06,Night,M001,OP012,Line 1,480,16,464,869,26,0.5,0,F000,297.55,312.55,69.1,29.33,864,869,0
PROD00094,2024-04-15,Morning,M001,OP002,Line 1,480,18,462,804,16,0.5,0,F000,300.68,315.53,61.3,32.5,864,804,15
PROD00095,2024-04-15,Afternoon,M001,OP009,Line 1,480,11,469,901,18,0.5,0,F000,304.25,313.86,67.1,31.75,864,901,0
PROD00096,2024-04-15,Night,M001,OP010,Line 1,480,10,470,876,26,0.5,0,F000,297.03,310.9,60.1,45.27,864,876,0
PROD00097,2024-04-19,Morning,M001,OP012,Line 1,480,1,479,844,16,0.5,0,F000,304.46,314.75,51.6,31.97,864,844,5
PROD00098,2024-04-19,Afternoon,M001,OP011,Line 1,480,14,466,895,17,0.5,0,F000,304.83,314.63,68.0,36.79,864,895,0
PROD00099,2024-04-19,Night,M001,OP018,Line 1,480,7,473,787,23,0.5,0,F000,300.06,312.79,62.0,35.55,864,787,19
PROD00100,2024-04-23,Morning,M001,OP019,Line 1,480,12,468,769,15,0.5,0,F000,297.86,309.62,53.2,40.61,864,769,23
PROD00101,2024-04-23,Afternoon,M001,OP003,Line 1,480,9,471,831,16,0.5,0,F000,298.46,310.8,72.7,34.05,864,831,8
PROD00102,2024-04-23,Night,M001,OP016,Line 1,480,7,473,888,26,0.5,0,F000,296.98,309.52,39.7,28.55,864,888,0
PROD00103,2024-04-24,Morning,M001,OP005,Line 1,480,4,476,867,17,0.5,0,F000,297.79,312.44,62.9,38.54,864,867,0
PROD00104,2024-04-24,Afternoon,M001,OP007,Line 1,480,9,471,905,18,0.5,0,F000,301.86,314.17,72.6,33.11,864,905,0
PROD00105,2024-04-24,Night,M001,OP007,Line 1,480,16,464,895,26,0.5,0,F000,303.7,315.51,74.1,34.21,864,895,0
PROD00106,2024-04-27,Morning,M001,OP002,Line 1,480,16,464,890,17,0.5,0,F000,302.67,311.31,43.5,39.74,864,890,0
PROD00107,2024-04-27,Afternoon,M001,OP011,Line 1,480,4,476,801,16,0.5,0,F000,298.96,312.32,43.3,32.12,864,801,15
PROD00108,2024-04-27,Night,M001,OP006,Line 1,480,12,468,862,25,0.5,0,F000,299.55,309.49,74.4,46.73,864,862,0
PROD00109,2024-05-08,Morning,M001,OP014,Line 1,480,13,467,786,15,0.5,0,F000,296.67,308.79,35.6,32.53,864,786,19
PROD00110,2024-05-08,Afternoon,M001,OP020,Line 1,480,11,469,845,16,0.5,0,F000,304.11,317.56,55.5,29.65,864,845,4
PROD00111,2024-05-08,Night,M001,OP003,Line 1,480,55,425,763,149,0.5,1,F006,303.18,313.99,62.4,34.52,864,763,25
PROD00112,2024-05-09,Morning,M001,OP013,Line 1,480,5,475,802,16,0.5,0,F000,301.28,310.16,60.0,39.38,864,802,15
PROD00113,2024-05-09,Afternoon,M001,OP007,Line 1,480,8,472,846,16,0.5,0,F000,298.92,311.83,69.1,40.47,864,846,4
PROD00114,2024-05-09,Night,M001,OP011,Line 1,480,14,466,829,24,0.5,0,F000,299.16,312.95,50.9,41.52,864,829,8
PROD00115,2024-05-10,Morning,M001,OP005,Line 1,480,6,474,801,16,0.5,0,F000,300.99,314.81,38.7,29.66,864,801,15
PROD00116,2024-05-10,Afternoon,M001,OP014,Line 1,480,8,472,864,17,0.5,0,F000,299.48,309.79,39.9,34.62,864,864,0
PROD00117,2024-05-10,Night,M001,OP004,Line 1,480,10,470,925,27,0.5,0,F000,297.74,309.79,43.5,40.39,864,925,0
PROD00118,2024-05-13,Morning,M001,OP020,Line 1,480,8,472,792,15,0.5,0,F000,298.35,308.3,44.0,36.09,864,792,18
PROD00119,2024-05-13,Afternoon,M001,OP011,Line 1,480,9,471,776,15,0.5,0,F000,305.09,314.96,42.2,41.37,864,776,22
PROD00120,2024-05-13,Night,M001,OP003,Line 1,480,4,476,803,24,0.5,0,F000,297.57,310.17,37.8,42.54,864,803,15
PROD00121,2024-05-15,Morning,M001,OP002,Line 1,480,4,476,848,16,0.5,0,F000,298.44,311.49,66.1,39.06,864,848,4
PROD00122,2024-05-15,Afternoon,M001,OP014,Line 1,480,11,469,777,15,0.5,0,F000,302.43,311.0,52.7,35.81,864,777,21
PROD00123,2024-05-15,Night,M001,OP013,Line 1,480,11,469,787,23,0.5,0,F000,297.79,310.54,54.5,40.49,864,787,19
PROD00124,2024-05-17,Morning,M001,OP004,Line 1,480,2,478,817,16,0.5,0,F000,301.04,315.66,65.7,43.13,864,817,11
PROD00125,2024-05-17,Afternoon,M001,OP014,Line 1,480,52,428,720,103,0.5,1,F006,300.48,313.16,49.2,32.93,864,720,36
PROD00126,2024-05-17,Night,M001,OP011,Line 1,480,118,362,664,98,0.5,1,F001,303.81,316.78,51.7,23.87,864,664,50
PROD00127,2024-05-18,Morning,M001,OP003,Line 1,480,16,464,833,16,0.5,0,F000,298.95,310.01,39.2,35.7,864,833,7
PROD00128,2024-05-18,Afternoon,M001,OP017,Line 1,480,5,475,833,16,0.5,0,F000,297.36,307.69,41.7,37.86,864,833,7
PROD00129,2024-05-18,Night,M001,OP005,Line 1,480,11,469,825,24,0.5,0,F000,304.17,313.2,39.1,32.47,864,825,9
PROD00130,2024-05-25,Morning,M001,OP015,Line 1,480,9,471,800,16,0.5,0,F000,298.88,312.29,54.8,42.44,864,800,16
PROD00131,2024-05-25,Afternoon,M001,OP010,Line 1,480,14,466,866,17,0.5,0,F000,302.64,317.44,47.6,35.92,864,866,0
PROD00132,2024-05-25,Night,M001,OP010,Line 1,480,8,472,830,24,0.5,0,F000,299.78,308.3,53.5,28.37,864,830,8
PROD00133,2024-06-06,Morning,M001,OP015,Line 1,480,13,467,901,18,0.5,0,F000,297.32,308.56,57.2,42.89,864,901,0
PROD00134,2024-06-06,Afternoon,M001,OP011,Line 1,480,8,472,804,16,0.5,0,F000,297.64,309.88,55.1,46.48,864,804,15
PROD00135,2024-06-06,Night,M001,OP010,Line 1,480,2,478,888,26,0.5,0,F000,304.56,319.5,56.0,40.05,864,888,0
PROD00136,2024-06-07,Morning,M001,OP018,Line 1,480,11,469,877,17,0.5,0,F000,301.15,309.52,60.2,34.03,864,877,0
PROD00137,2024-06-07,Afternoon,M001,OP012,Line 1,480,5,475,895,17,0.5,0,F000,296.38,310.49,48.3,39.29,864,895,0
PROD00138,2024-06-07,Night,M001,OP011,Line 1,480,9,471,878,26,0.5,0,F000,294.56,303.46,63.4,29.27,864,878,0
PROD00139,2024-06-12,Morning,M001,OP012,Line 1,480,10,470,903,18,0.5,0,F000,299.68,311.36,60.8,35.83,864,903,0
PROD00140,2024-06-12,Afternoon,M001,OP010,Line 1,480,16,464,814,16,0.5,0,F000,295.45,308.81,42.7,46.56,864,814,12
PROD00141,2024-06-12,Night,M001,OP013,Line 1,480,3,477,907,27,0.5,0,F000,303.17,311.43,48.5,43.08,864,907,0
PROD00142,2024-06-14,Morning,M001,OP012,Line 1,480,4,476,892,17,0.5,0,F000,294.65,307.02,71.1,42.11,864,892,0
PROD00143,2024-06-14,Afternoon,M001,OP016,Line 1,480,4,476,852,17,0.5,0,F000,298.91,310.05,56.4,33.98,864,852,3
PROD00144,2024-06-14,Night,M001,OP017,Line 1,480,4,476,890,26,0.5,0,F000,304.87,316.86,52.6,43.1,864,890,0
PROD00145,2024-06-21,Morning,M001,OP004,Line 1,480,16,464,889,17,0.5,0,F000,300.52,310.27,60.6,44.2,864,889,0
PROD00146,2024-06-21,Afternoon,M001,OP014,Line 1,480,7,473,795,15,0.5,0,F000,298.45,307.04,41.4,36.55,864,795,17
PROD00147,2024-06-21,Night,M001,OP003,Line 1,480,14,466,893,26,0.5,0,F000,305.19,316.09,50.9,34.62,864,893,0
PROD00148,2024-06-24,Morning,M001,OP010,Line 1,480,1,479,937,18,0.5,0,F000,295.41,309.28,61.0,43.75,864,937,0
PROD00149,2024-06-24,Afternoon,M001,OP005,Line 1,480,7,473,909,18,0.5,0,F000,300.19,312.5,71.2,28.04,864,909,0
PROD00150,2024-06-24,Night,M001,OP014,Line 1,480,10,470,855,25,0.5,0,F000,296.63,305.41,46.5,33.4,864,855,2
PROD00151,2024-06-29,Morning,M001,OP010,Line 1,480,9,471,782,15,0.5,0,F000,301.83,313.58,60.3,38.91,864,782,20
PROD00152,2024-06-29,Afternoon,M001,OP003,Line 1,480,9,471,810,16,0.5,0,F000,296.98,307.9,61.6,29.33,864,810,13
PROD00153,2024-06-29,Night,M001,OP001,Line 1,480,8,472,900,27,0.5,0,F000,299.39,313.5,36.7,35.24,864,900,0
PROD00154,2024-07-08,Morning,M001,OP005,Line 1,480,2,478,823,16,0.5,0,F000,299.97,312.57,39.1,39.51,864,823,10
PROD00155,2024-07-08,Afternoon,M001,OP015,Line 1,480,30,450,836,150,0.5,1,F005,296.63,307.98,42.3,29.28,864,836,7
PROD00156,2024-07-08,Night,M001,OP009,Line 1,480,99,381,650,55,0.5,1,F002,292.26,306.79,55.6,39.38,864,650,53
PROD00157,2024-07-09,Morning,M001,OP013,Line 1,480,45,435,766,133,0.5,1,F006,301.79,310.66,49.7,42.26,864,766,24
PROD00158,2024-07-09,Afternoon,M001,OP014,Line 1,480,4,476,892,17,0.5,0,F000,297.99,308.56,66.9,33.09,864,892,0
PROD00159,2024-07-09,Night,M001,OP014,Line 1,480,9,471,904,27,0.5,0,F000,297.47,306.03,61.4,33.63,864,904,0
PROD00160,2024-07-11,Morning,M001,OP002,Line 1,480,7,473,847,16,0.5,0,F000,299.26,312.35,71.5,39.8,864,847,4
PROD00161,2024-07-11,Afternoon,M001,OP002,Line 1,480,9,471,830,16,0.5,0,F000,301.43,316.1,40.7,39.56,864,830,8
PROD00162,2024-07-11,Night,M001,OP015,Line 1,480,4,476,885,26,0.5,0,F000,295.71,306.25,73.0,28.45,864,885,0
PROD00163,2024-07-18,Morning,M001,OP006,Line 1,480,6,474,900,18,0.5,0,F000,296.71,307.5,61.0,32.64,864,900,0
PROD00164,2024-07-18,Afternoon,M001,OP010,Line 1,480,6,474,867,17,0.5,0,F000,298.35,308.18,45.4,36.58,864,867,0
PROD00165,2024-07-18,Night,M001,OP011,Line 1,480,19,461,787,23,0.5,0,F000,300.77,309.98,63.5,46.39,864,787,19
PROD00166,2024-07-19,Morning,M001,OP006,Line 1,480,10,470,858,17,0.5,0,F000,300.89,310.92,47.0,30.67,864,858,1
PROD00167,2024-07-19,Afternoon,M001,OP018,Line 1,480,7,473,795,15,0.5,0,F000,300.5,314.03,36.1,38.6,864,795,17
PROD00168,2024-07-19,Night,M001,OP014,Line 1,480,14,466,774,23,0.5,0,F000,301.56,312.35,63.7,36.66,864,774,22
PROD00169,2024-07-22,Morning,M001,OP019,Line 1,480,2,478,941,18,0.5,0,F000,297.95,310.71,48.8,45.4,864,941,0
PROD00170,2024-07-22,Afternoon,M001,OP006,Line 1,480,16,464,829,16,0.5,0,F000,297.44,311.81,37.2,29.63,864,829,8
PROD00171,2024-07-22,Night,M001,OP009,Line 1,480,15,465,798,23,0.5,0,F000,303.43,313.42,38.2,31.22,864,798,16
PROD00172,2024-07-23,Morning,M001,OP020,Line 1,480,5,475,865,17,0.5,0,F000,298.82,310.34,41.7,46.39,864,865,0
PROD00173,2024-07-23,Afternoon,M001,OP007,Line 1,480,9,471,907,18,0.5,0,F000,294.84,303.04,36.8,40.2,864,907,0
PROD00174,2024-07-23,Night,M001,OP016,Line 1,480,6,474,880,26,0.5,0,F000,297.82,309.31,60.1,33.49,864,880,0
PROD00175,2024-07-24,Morning,M001,OP005,Line 1,480,12,468,832,16,0.5,0,F000,295.61,304.72,51.6,36.5,864,832,8
PROD00176,2024-07-24,Afternoon,M001,OP018,Line 1,480,10,470,888,17,0.5,0,F000,301.32,315.35,74.0,30.1,864,888,0
PROD00177,2024-07-24,Night,M001,OP006,Line 1,480,4,476,800,24,0.5,0,F000,298.43,306.78,72.8,44.96,864,800,16
PROD00178,2024-07-27,Morning,M001,OP010,Line 1,480,15,465,876,17,0.5,0,F000,300.51,309.84,41.4,46.63,864,876,0
PROD00179,2024-07-27,Afternoon,M001,OP016,Line 1,480,3,477,846,16,0.5,0,F000,297.85,309.93,36.9,33.46,864,846,4
PROD00180,2024-07-27,Night,M001,OP002,Line 1,480,0,480,804,24,0.5,0,F000,300.59,309.53,45.6,35.32,864,804,15
PROD00181,2024-08-01,Morning,M001,OP020,Line 1,480,8,472,805,16,0.5,0,F000,298.89,310.42,65.6,33.19,864,805,14
PROD00182,2024-08-01,Afternoon,M001,OP007,Line 1,480,17,463,821,16,0.5,0,F000,299.62,313.18,48.6,45.41,864,821,10
PROD00183,2024-08-01,Night,M001,OP005,Line 1,480,6,474,783,23,0.5,0,F000,304.6,318.23,55.8,30.7,864,783,20
PROD00184,2024-08-03,Morning,M001,OP017,Line 1,480,9,471,798,15,0.5,0,F000,301.15,316.08,64.6,33.46,864,798,16
PROD00185,2024-08-03,Afternoon,M001,OP001,Line 1,480,10,470,818,16,0.5,0,F000,301.15,313.87,74.2,39.02,864,818,11
PROD00186,2024-08-03,Night,M001,OP016,Line 1,480,5,475,884,26,0.5,0,F000,297.37,312.17,58.1,32.26,864,884,0
PROD00187,2024-08-05,Morning,M001,OP001,Line 1,480,9,471,871,17,0.5,0,F000,300.92,313.69,36.3,46.17,864,871,0
PROD00188,2024-08-05,Afternoon,M001,OP002,Line 1,480,6,474,843,16,0.5,0,F000,298.57,308.0,55.1,39.81,864,843,5
PROD00189,2024-08-05,Night,M001,OP018,Line 1,480,7,473,865,25,0.5,0,F000,303.42,314.06,73.3,36.75,864,865,0
PROD00190,2024-08-13,Morning,M001,OP008,Line 1,480,11,469,884,17,0.5,0,F000,299.96,312.46,62.7,39.4,864,884,0
PROD00191,2024-08-13,Afternoon,M001,OP018,Line 1,480,5,475,931,18,0.5,0,F000,305.12,318.05,62.6,37.46,864,931,0
PROD00192,2024-08-13,Night,M001,OP012,Line 1,480,12,468,811,24,0.5,0,F000,299.43,308.28,62.1,34.94,864,811,13
PROD00193,2024-08-14,Morning,M001,OP007,Line 1,480,12,468,813,16,0.5,0,F000,298.89,309.31,52.7,32.47,864,813,12
