UDI,Timestamp,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Downtime_Minutes
40,2024-01-01 14:30:00,L47219,298.8,309.1,1350,52.5,111,0,No Failure,0
41,2024-01-01 14:40:00,L47220,298.8,309.1,1362,45.4,113,0,No Failure,0
42,2024-01-01 14:50:00,L47221,298.8,309.1,1368,50.8,115,0,No Failure,0
43,2024-01-01 15:00:00,M14902,298.8,309.1,1368,49.1,117,0,No Failure,0
44,2024-01-01 15:10:00,H29457,298.8,309.2,1372,48.5,120,0,No Failure,0
45,2024-01-01 15:20:00,M14904,298.8,309.1,1472,47.5,125,0,No Failure,0
46,2024-01-01 15:30:00,L47225,298.8,309.1,1489,49.1,128,0,No Failure,0
47,2024-01-01 15:40:00,M14906,298.7,309.0,1843,25.8,130,0,No Failure,0
48,2024-01-01 15:50:00,L47227,298.8,309.1,1418,46.3,133,0,No Failure,0
49,2024-01-01 16:00:00,H29462,298.8,309.2,1425,53.9,135,0,No Failure,0
50,2024-01-01 16:10:00,M14909,298.9,309.2,1412,44.1,140,0,No Failure,0
51,2024-01-01 16:20:00,L47230,298.9,309.1,2861,4.6,143,1,Power Failure,108
52,2024-01-01 16:30:00,L47231,298.9,309.1,1383,54.9,145,0,No Failure,0
53,2024-01-01 16:40:00,H29466,298.8,309.0,1497,43.8,147,0,No Failure,0
54,2024-01-01 16:50:00,L47233,298.7,309.0,1565,35.1,152,0,No Failure,0
55,2024-01-01 17:00:00,L47234,298.7,309.0,1691,30.1,154,0,No Failure,0
56,2024-01-01 17:10:00,L47235,298.8,309.1,1512,40.7,156,0,No Failure,0
57,2024-01-01 17:20:00,L47236,298.8,309.1,1477,42.4,158,0,No Failure,0
58,2024-01-01 17:30:00,L47237,298.8,309.1,1513,40.3,160,0,No Failure,0
59,2024-01-01 17:40:00,M14918,298.8,309.0,1661,29.5,162,0,No Failure,0
60,2024-01-01 17:50:00,L47239,298.8,309.1,1378,54.4,165,0,No Failure,0
61,2024-01-01 18:00:00,L47240,298.8,309.1,1393,52.6,167,0,No Failure,0
62,2024-01-01 18:10:00,M14921,298.8,309.0,1592,38.2,169,0,No Failure,0
63,2024-01-01 18:20:00,L47242,298.8,309.0,1829,22.9,172,0,No Failure,0
64,2024-01-01 18:30:00,M14923,298.9,309.0,1812,25.9,174,0,No Failure,0
65,2024-01-01 18:40:00,L47244,299.0,309.1,1523,38.6,177,0,No Failure,0
66,2024-01-01 18:50:00,L47245,299.0,309.1,1394,45.1,179,0,No Failure,0
67,2024-01-01 19:00:00,M14926,298.9,308.9,1679,28.7,181,0,No Failure,0
68,2024-01-01 19:10:00,H29481,298.8,308.9,1466,44.1,184,0,No Failure,0
69,2024-01-01 19:20:00,L47248,298.8,308.9,1527,32.4,189,0,No Failure,0
70,2024-01-01 19:30:00,L47249,298.9,309.0,1410,65.7,191,1,Power Failure,110
71,2024-01-01 19:40:00,M14930,298.9,309.0,1924,22.6,193,0,No Failure,0
72,2024-01-01 19:50:00,L47251,298.9,309.1,1452,45.5,196,0,No Failure,0
73,2024-01-01 20:00:00,L47252,298.9,309.1,1369,44.4,198,0,No Failure,0
74,2024-01-01 20:10:00,L47253,299.0,309.1,1592,35.0,200,0,No Failure,0
75,2024-01-01 20:20:00,L47254,298.9,309.0,1601,32.3,202,0,No Failure,0
76,2024-01-01 20:30:00,L47255,298.8,308.9,1379,46.7,204,0,No Failure,0
77,2024-01-01 20:40:00,L47256,298.8,308.9,1461,47.9,206,0,No Failure,0
78,2024-01-01 20:50:00,L47257,298.8,308.9,1455,41.3,208,1,Tool Wear Failure,179
79,2024-01-01 21:00:00,L47258,298.8,308.9,1398,51.5,0,0,No Failure,0
80,2024-01-01 21:10:00,L47259,298.8,308.9,1402,37.9,2,0,No Failure,0
81,2024-01-01 21:20:00,H29494,298.8,308.8,1445,49.9,4,0,No Failure,0
82,2024-01-01 21:30:00,L47261,298.9,308.9,1450,47.5,9,0,No Failure,0
83,2024-01-01 21:40:00,L47262,298.9,308.9,1453,40.8,11,0,No Failure,0
84,2024-01-01 21:50:00,L47263,299.0,309.0,1469,40.1,13,0,No Failure,0
85,2024-01-01 22:00:00,L47264,298.9,308.9,1422,47.6,15,0,No Failure,0
86,2024-01-01 22:10:00,M14945,299.0,309.0,1804,26.8,17,0,No Failure,0
87,2024-01-01 22:20:00,H29500,299.0,309.0,1436,43.9,20,0,No Failure,0
88,2024-01-01 22:30:00,L47267,299.0,309.0,1544,31.8,25,0,No Failure,0
89,2024-01-01 22:40:00,M14948,299.0,309.0,1419,45.2,27,0,No Failure,0
90,2024-01-01 22:50:00,M14949,298.9,308.9,1487,39.5,30,0,No Failure,0
91,2024-01-01 23:00:00,L47270,298.9,308.9,1753,25.8,33,0,No Failure,0
92,2024-01-01 23:10:00,L47271,298.9,308.9,1830,24.9,35,0,No Failure,0
93,2024-01-01 23:20:00,M14952,298.9,308.9,1727,27.1,37,0,No Failure,0
94,2024-01-01 23:30:00,L47273,299.1,309.0,1450,43.0,40,0,No Failure,0
95,2024-01-01 23:40:00,L47274,299.0,308.9,1622,31.9,42,0,No Failure,0
96,2024-01-01 23:50:00,M14955,299.0,309.0,1351,52.2,44,0,No Failure,0
97,2024-01-02 00:00:00,M14956,299.0,309.0,1575,35.3,47,0,No Failure,0
98,2024-01-02 00:10:00,M14957,298.9,308.9,1750,29.9,50,0,No Failure,0
99,2024-01-02 00:20:00,L47278,298.9,308.8,1529,32.7,53,0,No Failure,0
100,2024-01-02 00:30:00,L47279,298.8,308.8,1523,44.4,55,0,No Failure,0
101,2024-01-02 00:40:00,L47280,298.8,308.9,1852,25.0,57,0,No Failure,0
102,2024-01-02 00:50:00,L47281,298.8,308.8,1991,20.7,59,0,No Failure,0
103,2024-01-02 01:00:00,L47282,298.8,308.8,1555,40.6,61,0,No Failure,0
104,2024-01-02 01:10:00,M14963,298.8,308.8,1441,40.5,63,0,No Failure,0
105,2024-01-02 01:20:00,L47284,298.8,308.7,1450,43.4,66,0,No Failure,0
106,2024-01-02 01:30:00,L47285,298.8,308.7,1591,31.1,68,0,No Failure,0
107,2024-01-02 01:40:00,L47286,298.8,308.7,1445,48.5,70,0,No Failure,0
108,2024-01-02 01:50:00,M14967,298.8,308.8,1497,46.8,72,0,No Failure,0
109,2024-01-02 02:00:00,H29522,298.9,308.8,1621,32.7,75,0,No Failure,0
110,2024-01-02 02:10:00,L47289,298.9,308.7,1572,34.1,80,0,No Failure,0
111,2024-01-02 02:20:00,L47290,298.8,308.6,1872,22.5,82,0,No Failure,0
112,2024-01-02 02:30:00,H29525,298.7,308.6,1499,43.5,84,0,No Failure,0
113,2024-01-02 02:40:00,M14972,298.8,308.7,1498,39.5,89,0,No Failure,0
114,2024-01-02 02:50:00,M14973,298.8,308.6,1486,41.9,92,0,No Failure,0
115,2024-01-02 03:00:00,L47294,298.8,308.6,1680,29.4,95,0,No Failure,0
116,2024-01-02 03:10:00,L47295,298.8,308.6,1431,45.7,97,0,No Failure,0
117,2024-01-02 03:20:00,L47296,298.9,308.7,1564,34.1,99,0,No Failure,0
118,2024-01-02 03:30:00,L47297,298.8,308.6,1599,33.0,101,0,No Failure,0
119,2024-01-02 03:40:00,M14978,298.8,308.6,1707,28.1,103,0,No Failure,0
120,2024-01-02 03:50:00,L47299,298.7,308.5,1467,40.7,106,0,No Failure,0
121,2024-01-02 04:00:00,L47300,298.9,308.7,1433,44.7,108,0,No Failure,0
122,2024-01-02 04:10:00,L47301,298.9,308.7,1558,41.2,110,0,No Failure,0
123,2024-01-02 04:20:00,L47302,299.0,308.8,1310,50.7,112,0,No Failure,0
124,2024-01-02 04:30:00,L47303,298.9,308.7,1546,43.4,114,0,No Failure,0
125,2024-01-02 04:40:00,L47304,298.9,308.7,1727,29.4,116,0,No Failure,0
126,2024-01-02 04:50:00,L47305,298.9,308.6,1560,32.2,118,0,No Failure,0
127,2024-01-02 05:00:00,L47306,299.0,308.6,1329,60.5,120,0,No Failure,0
128,2024-01-02 05:10:00,L47307,298.9,308.6,1413,46.5,122,0,No Failure,0
129,2024-01-02 05:20:00,L47308,299.0,308.6,1587,38.6,124,0,No Failure,0
130,2024-01-02 05:30:00,L47309,298.9,308.5,1559,34.3,126,0,No Failure,0
131,2024-01-02 05:40:00,L47310,298.8,308.4,1473,41.1,128,0,No Failure,0
132,2024-01-02 05:50:00,L47311,298.8,308.4,1737,27.7,130,0,No Failure,0
133,2024-01-02 06:00:00,M14992,298.7,308.4,1441,43.2,132,0,No Failure,0
134,2024-01-02 06:10:00,M14993,298.7,308.4,1430,49.6,135,0,No Failure,0
135,2024-01-02 06:20:00,L47314,298.8,308.4,1369,53.0,138,0,No Failure,0
136,2024-01-02 06:30:00,M14995,298.8,308.5,1711,28.5,140,0,No Failure,0
137,2024-01-02 06:40:00,H29550,298.7,308.5,1420,45.7,143,0,No Failure,0
138,2024-01-02 06:50:00,L47317,298.7,308.6,1297,55.3,148,0,No Failure,0
139,2024-01-02 07:00:00,H29552,298.8,308.6,1449,49.4,150,0,No Failure,0
140,2024-01-02 07:10:00,L47319,298.8,308.6,1268,55.8,155,0,No Failure,0
141,2024-01-02 07:20:00,L47320,298.8,308.6,1511,36.1,157,0,No Failure,0
142,2024-01-02 07:30:00,L47321,298.7,308.5,1544,35.2,159,0,No Failure,0
143,2024-01-02 07:40:00,M15002,298.6,308.4,1778,28.2,161,0,No Failure,0
144,2024-01-02 07:50:00,H29557,298.6,308.4,1407,50.5,164,0,No Failure,0
145,2024-01-02 08:00:00,M15004,298.6,308.4,1391,42.4,169,0,No Failure,0
146,2024-01-02 08:10:00,L47325,298.5,308.4,1513,33.6,172,0,No Failure,0
147,2024-01-02 08:20:00,H29560,298.5,308.4,1612,36.1,174,0,No Failure,0
148,2024-01-02 08:30:00,L47327,298.4,308.4,1515,40.1,179,0,No Failure,0
149,2024-01-02 08:40:00,M15008,298.3,308.3,1379,48.0,181,0,No Failure,0
150,2024-01-02 08:50:00,L47329,298.4,308.3,1473,39.9,184,0,No Failure,0
151,2024-01-02 09:00:00,L47330,298.4,308.3,1422,42.7,186,0,No Failure,0
152,2024-01-02 09:10:00,M15011,298.4,308.2,1463,37.6,188,0,No Failure,0
153,2024-01-02 09:20:00,M15012,298.4,308.2,1584,41.0,191,0,No Failure,0
154,2024-01-02 09:30:00,L47333,298.4,308.2,1850,27.0,194,0,No Failure,0
155,2024-01-02 09:40:00,L47334,298.4,308.2,1528,36.2,196,0,No Failure,0
156,2024-01-02 09:50:00,H29569,298.4,308.2,1987,19.8,198,0,No Failure,0
157,2024-01-02 10:00:00,M15016,298.4,308.1,1495,46.0,203,0,No Failure,0
158,2024-01-02 10:10:00,H29571,298.4,308.2,1478,43.5,206,0,No Failure,0
159,2024-01-02 10:20:00,M15018,298.4,308.2,1499,40.0,211,0,No Failure,0
160,2024-01-02 10:30:00,L47339,298.4,308.2,1471,47.0,214,0,No Failure,0
161,2024-01-02 10:40:00,L47340,298.4,308.2,1282,60.7,216,1,Overstrain Failure,32
162,2024-01-02 10:50:00,L47341,298.3,308.1,1412,52.3,218,1,Overstrain Failure,94
163,2024-01-02 11:00:00,L47342,298.3,308.1,1586,35.5,0,0,No Failure,0
164,2024-01-02 11:10:00,M15023,298.4,308.2,1468,43.8,2,0,No Failure,0
165,2024-01-02 11:20:00,M15024,298.5,308.3,1440,43.6,5,0,No Failure,0
166,2024-01-02 11:30:00,L47345,298.5,308.4,1733,26.0,8,0,No Failure,0
167,2024-01-02 11:40:00,H29580,298.4,308.2,1612,32.6,10,0,No Failure,0
168,2024-01-02 11:50:00,H29581,298.4,308.3,1458,42.9,15,0,No Failure,0
169,2024-01-02 12:00:00,L47348,298.4,308.3,1433,62.3,20,1,Power Failure,216
170,2024-01-02 12:10:00,L47349,298.4,308.3,1318,59.1,22,0,No Failure,0
171,2024-01-02 12:20:00,M15030,298.4,308.2,1610,35.0,24,0,No Failure,0
172,2024-01-02 12:30:00,L47351,298.2,308.1,1462,50.8,27,0,No Failure,0
173,2024-01-02 12:40:00,M15032,298.1,308.0,1924,20.8,29,0,No Failure,0
174,2024-01-02 12:50:00,M15033,298.2,308.0,1591,33.7,32,0,No Failure,0
175,2024-01-02 13:00:00,L47354,298.2,308.1,1306,58.3,35,0,No Failure,0
176,2024-01-02 13:10:00,L47355,298.2,308.1,1382,43.5,37,0,No Failure,0
177,2024-01-02 13:20:00,L47356,298.2,308.1,1618,34.7,39,0,No Failure,0
178,2024-01-02 13:30:00,L47357,298.2,308.2,1988,21.4,41,0,No Failure,0
179,2024-01-02 13:40:00,L47358,298.2,308.2,1436,50.2,43,0,No Failure,0
180,2024-01-02 13:50:00,L47359,298.2,308.3,1304,49.8,45,0,No Failure,0
181,2024-01-02 14:00:00,L47360,298.2,308.3,1475,49.9,47,0,No Failure,0
182,2024-01-02 14:10:00,H29595,298.2,308.3,1824,24.2,49,0,No Failure,0
183,2024-01-02 14:20:00,M15042,298.1,308.2,1342,48.1,54,0,No Failure,0
184,2024-01-02 14:30:00,L47363,298.1,308.2,1485,40.7,57,0,No Failure,0
185,2024-01-02 14:40:00,L47364,298.2,308.2,1667,30.6,59,0,No Failure,0
186,2024-01-02 14:50:00,L47365,298.2,308.2,1446,38.2,61,0,No Failure,0
187,2024-01-02 15:00:00,L47366,298.1,308.3,1301,56.0,63,0,No Failure,0
188,2024-01-02 15:10:00,L47367,298.2,308.4,1379,43.1,65,0,No Failure,0
189,2024-01-02 15:20:00,L47368,298.3,308.5,1606,33.6,67,0,No Failure,0
190,2024-01-02 15:30:00,M15049,298.3,308.4,1539,43.4,69,0,No Failure,0
191,2024-01-02 15:40:00,L47370,298.2,308.4,1477,49.9,72,0,No Failure,0
192,2024-01-02 15:50:00,L47371,298.2,308.4,1666,34.6,74,0,No Failure,0
193,2024-01-02 16:00:00,H29606,298.2,308.4,1398,51.8,76,0,No Failure,0
194,2024-01-02 16:10:00,H29607,298.2,308.4,1678,34.6,81,0,No Failure,0
195,2024-01-02 16:20:00,M15054,298.2,308.5,2678,10.7,86,1,Power Failure,97
196,2024-01-02 16:30:00,L47375,298.3,308.5,1453,42.9,89,0,No Failure,0
197,2024-01-02 16:40:00,H29610,298.3,308.6,1432,49.5,91,0,No Failure,0
198,2024-01-02 16:50:00,M15057,298.4,308.6,1527,40.9,96,0,No Failure,0
199,2024-01-02 17:00:00,L47378,298.4,308.7,1588,35.0,99,0,No Failure,0
200,2024-01-02 17:10:00,L47379,298.4,308.6,1433,47.1,101,0,No Failure,0
201,2024-01-02 17:20:00,L47380,298.4,308.6,1609,35.0,103,0,No Failure,0
202,2024-01-02 17:30:00,L47381,298.3,308.5,1575,41.2,105,0,No Failure,0
203,2024-01-02 17:40:00,M15062,298.4,308.5,1636,35.7,107,0,No Failure,0
204,2024-01-02 17:50:00,L47383,298.4,308.5,1490,37.9,110,0,No Failure,0
205,2024-01-02 18:00:00,L47384,298.4,308.5,1741,32.8,112,0,No Failure,0
206,2024-01-02 18:10:00,M15065,298.5,308.6,1344,53.0,114,0,No Failure,0
207,2024-01-02 18:20:00,L47386,298.5,308.7,1609,35.3,117,0,No Failure,0
208,2024-01-02 18:30:00,M15067,298.4,308.7,1421,60.7,119,1,Power Failure,114
209,2024-01-02 18:40:00,L47388,298.4,308.6,1591,36.7,122,0,No Failure,0
210,2024-01-02 18:50:00,L47389,298.4,308.6,1477,44.0,124,0,No Failure,0
211,2024-01-02 19:00:00,L47390,298.4,308.7,1523,36.1,126,0,No Failure,0
212,2024-01-02 19:10:00,L47391,298.5,308.7,1575,33.9,128,0,No Failure,0
213,2024-01-02 19:20:00,H29626,298.4,308.7,1344,52.9,130,0,No Failure,0
214,2024-01-02 19:30:00,L47393,298.4,308.7,1386,44.9,135,0,No Failure,0
215,2024-01-02 19:40:00,M15074,298.3,308.6,1589,37.1,137,0,No Failure,0
216,2024-01-02 19:50:00,L47395,298.3,308.6,1548,40.3,140,0,No Failure,0
217,2024-01-02 20:00:00,L47396,298.3,308.6,1499,38.3,142,0,No Failure,0
218,2024-01-02 20:10:00,L47397,298.3,308.5,1664,31.6,144,0,No Failure,0
219,2024-01-02 20:20:00,L47398,298.3,308.6,1447,38.1,146,0,No Failure,0
220,2024-01-02 20:30:00,M15079,298.3,308.5,1434,46.2,148,0,No Failure,0
221,2024-01-02 20:40:00,L47400,298.3,308.5,1416,52.7,151,0,No Failure,0
222,2024-01-02 20:50:00,H29635,298.4,308.5,1827,24.3,153,0,No Failure,0
223,2024-01-02 21:00:00,L47402,298.4,308.6,1304,45.0,158,0,No Failure,0
224,2024-01-02 21:10:00,L47403,298.4,308.6,1569,34.4,160,0,No Failure,0
225,2024-01-02 21:20:00,L47404,298.3,308.6,1584,29.3,162,0,No Failure,0
226,2024-01-02 21:30:00,L47405,298.3,308.5,1362,53.8,164,0,No Failure,0
227,2024-01-02 21:40:00,L47406,298.3,308.4,1329,49.2,166,0,No Failure,0
228,2024-01-02 21:50:00,L47407,298.3,308.5,1539,36.1,168,0,No Failure,0
229,2024-01-02 22:00:00,M15088,298.3,308.5,1629,37.1,170,0,No Failure,0
230,2024-01-02 22:10:00,L47409,298.3,308.5,1538,32.2,173,0,No Failure,0
231,2024-01-02 22:20:00,L47410,298.3,308.6,1570,34.8,175,0,No Failure,0
232,2024-01-02 22:30:00,L47411,298.3,308.4,1408,43.1,177,0,No Failure,0
233,2024-01-02 22:40:00,L47412,298.2,308.4,1424,47.6,179,0,No Failure,0
234,2024-01-02 22:50:00,L47413,298.2,308.4,1512,34.9,181,0,No Failure,0
235,2024-01-02 23:00:00,L47414,298.2,308.4,1478,42.9,183,0,No Failure,0
236,2024-01-02 23:10:00,M15095,298.1,308.3,1680,33.7,185,0,No Failure,0
237,2024-01-02 23:20:00,L47416,298.1,308.3,1495,38.7,188,0,No Failure,0
238,2024-01-02 23:30:00,M15097,298.0,308.1,1552,36.6,190,0,No Failure,0
239,2024-01-02 23:40:00,L47418,297.9,308.1,1393,50.3,193,0,No Failure,0
240,2024-01-02 23:50:00,L47419,298.0,308.2,1611,30.6,195,0,No Failure,0
241,2024-01-03 00:00:00,M15100,298.0,308.1,1339,51.6,197,0,No Failure,0
242,2024-01-03 00:10:00,L47421,298.0,308.1,1777,24.3,200,0,No Failure,0
243,2024-01-03 00:20:00,L47422,298.0,308.2,1348,58.8,202,1,Overstrain Failure,215
244,2024-01-03 00:30:00,L47423,298.0,308.2,1442,44.1,204,0,No Failure,0
245,2024-01-03 00:40:00,M15104,298.0,308.2,1395,49.1,206,0,No Failure,0
246,2024-01-03 00:50:00,M15105,297.9,308.1,1627,31.4,209,0,No Failure,0
247,2024-01-03 01:00:00,L47426,297.9,308.1,1585,33.5,212,0,No Failure,0
248,2024-01-03 01:10:00,L47427,298.0,308.2,1469,45.5,214,0,No Failure,0
249,2024-01-03 01:20:00,L47428,298.0,308.3,1362,56.8,216,1,Overstrain Failure,106
250,2024-01-03 01:30:00,L47429,298.0,308.3,1405,56.2,218,1,Overstrain Failure,159
251,2024-01-03 01:40:00,L47430,298.0,308.3,1662,32.7,0,0,No Failure,0
252,2024-01-03 01:50:00,M15111,298.0,308.2,1466,42.6,2,0,No Failure,0
253,2024-01-03 02:00:00,L47432,298.0,308.2,1620,35.8,5,0,No Failure,0
254,2024-01-03 02:10:00,L47433,298.0,308.2,1357,48.2,7,0,No Failure,0
255,2024-01-03 02:20:00,L47434,298.0,308.2,1514,37.9,9,0,No Failure,0
256,2024-01-03 02:30:00,L47435,298.0,308.2,1489,40.4,11,0,No Failure,0
257,2024-01-03 02:40:00,L47436,298.1,308.3,1331,63.0,13,0,No Failure,0
258,2024-01-03 02:50:00,L47437,298.0,308.0,1615,29.5,15,0,No Failure,0
259,2024-01-03 03:00:00,L47438,298.1,308.2,1482,37.9,17,0,No Failure,0
260,2024-01-03 03:10:00,M15119,298.1,308.2,1420,63.9,19,1,Power Failure,124
261,2024-01-03 03:20:00,M15120,298.2,308.3,1522,49.1,22,0,No Failure,0
262,2024-01-03 03:30:00,L47441,298.1,308.2,1654,32.1,25,0,No Failure,0
263,2024-01-03 03:40:00,M15122,298.1,308.2,1736,26.8,27,0,No Failure,0
264,2024-01-03 03:50:00,M15123,298.0,308.1,1587,32.3,30,0,No Failure,0
265,2024-01-03 04:00:00,L47444,298.1,308.2,1390,47.5,33,0,No Failure,0
266,2024-01-03 04:10:00,L47445,298.0,308.1,1454,37.1,35,0,No Failure,0
267,2024-01-03 04:20:00,H29680,298.0,308.1,1440,43.7,37,0,No Failure,0
268,2024-01-03 04:30:00,L47447,297.9,308.0,1954,21.1,42,0,No Failure,0
269,2024-01-03 04:40:00,H29682,297.9,308.0,1800,24.8,44,0,No Failure,0
270,2024-01-03 04:50:00,L47449,298.0,308.0,1524,37.0,49,0,No Failure,0
271,2024-01-03 05:00:00,H29684,298.0,308.0,1520,39.6,51,0,No Failure,0
272,2024-01-03 05:10:00,M15131,298.1,308.1,1452,40.8,56,0,No Failure,0
273,2024-01-03 05:20:00,L47452,298.1,308.1,1484,40.4,59,0,No Failure,0
274,2024-01-03 05:30:00,L47453,298.1,308.0,1426,46.0,61,0,No Failure,0
275,2024-01-03 05:40:00,L47454,298.1,308.0,1652,28.5,63,0,No Failure,0
276,2024-01-03 05:50:00,L47455,298.0,308.0,1401,54.7,65,0,No Failure,0
277,2024-01-03 06:00:00,M15136,298.0,307.9,1750,26.6,67,0,No Failure,0
278,2024-01-03 06:10:00,H29691,298.0,308.0,1479,50.7,70,0,No Failure,0
279,2024-01-03 06:20:00,M15138,298.0,308.0,1620,29.4,75,0,No Failure,0
280,2024-01-03 06:30:00,L47459,298.0,308.1,1819,23.4,78,0,No Failure,0
281,2024-01-03 06:40:00,M15140,298.1,308.1,1456,43.7,80,0,No Failure,0
282,2024-01-03 06:50:00,L47461,298.1,308.0,1626,36.5,83,0,No Failure,0
283,2024-01-03 07:00:00,M15142,298.1,308.1,1390,49.8,85,0,No Failure,0
284,2024-01-03 07:10:00,L47463,298.2,308.2,1469,43.0,88,0,No Failure,0
285,2024-01-03 07:20:00,L47464,298.2,308.3,2051,19.2,90,0,No Failure,0
286,2024-01-03 07:30:00,L47465,298.2,308.3,1568,36.0,92,0,No Failure,0
287,2024-01-03 07:40:00,L47466,298.2,308.3,1589,33.2,94,0,No Failure,0
288,2024-01-03 07:50:00,L47467,298.2,308.3,1805,31.6,96,0,No Failure,0
289,2024-01-03 08:00:00,H29702,298.2,308.4,1385,42.2,98,0,No Failure,0
290,2024-01-03 08:10:00,L47469,298.1,308.4,1436,46.7,103,0,No Failure,0
291,2024-01-03 08:20:00,L47470,298.1,308.4,1438,45.6,105,0,No Failure,0
292,2024-01-03 08:30:00,L47471,298.0,308.3,1473,42.6,107,0,No Failure,0
293,2024-01-03 08:40:00,L47472,298.1,308.4,1335,40.2,109,0,No Failure,0
294,2024-01-03 08:50:00,H29707,298.1,308.5,1392,44.8,111,0,No Failure,0
295,2024-01-03 09:00:00,M15154,298.1,308.5,1372,51.1,116,0,No Failure,0
296,2024-01-03 09:10:00,M15155,298.1,308.6,1716,30.7,119,0,No Failure,0
297,2024-01-03 09:20:00,L47476,298.0,308.5,1395,46.2,122,0,No Failure,0
298,2024-01-03 09:30:00,L47477,298.0,308.5,1713,25.3,124,0,No Failure,0
299,2024-01-03 09:40:00,H29712,297.9,308.5,2129,18.7,126,0,No Failure,0
300,2024-01-03 09:50:00,M15159,297.8,308.3,1567,35.6,131,0,No Failure,0
301,2024-01-03 10:00:00,L47480,297.8,308.4,1622,38.3,134,0,No Failure,0
302,2024-01-03 10:10:00,L47481,297.7,308.4,1740,27.1,136,0,No Failure,0
303,2024-01-03 10:20:00,H29716,297.8,308.4,1512,35.1,138,0,No Failure,0
304,2024-01-03 10:30:00,M15163,297.8,308.4,1479,43.5,143,0,No Failure,0
305,2024-01-03 10:40:00,L47484,297.8,308.4,1737,27.5,146,0,No Failure,0
306,2024-01-03 10:50:00,L47485,297.8,308.4,2129,19.2,148,0,No Failure,0
307,2024-01-03 11:00:00,L47486,297.8,308.4,1374,47.1,150,0,No Failure,0
