Product ID,Type,Factory_ID
M15042,M,Factory_B_Alex
L47363,L,Factory_A_Cairo
L47364,L,Factory_A_Cairo
L47365,L,Factory_A_Cairo
L47366,L,Factory_C_Giza
L47367,L,Factory_C_Giza
L47368,L,Factory_B_Alex
M15049,M,Factory_C_Giza
L47370,L,Factory_A_Cairo
L47371,L,Factory_B_Alex
H29606,H,Factory_A_Cairo
H29607,H,Factory_A_Cairo
M15054,M,Factory_C_Giza
L47375,L,Factory_B_Alex
H29610,H,Factory_C_Giza
M15057,M,Factory_C_Giza
L47378,L,Factory_B_Alex
L47379,L,Factory_A_Cairo
L47380,L,Factory_A_Cairo
L47381,L,Factory_B_Alex
M15062,M,Factory_A_Cairo
L47383,L,Factory_B_Alex
L47384,L,Factory_B_Alex
M15065,M,Factory_C_Giza
L47386,L,Factory_B_Alex
M15067,M,Factory_C_Giza
L47388,L,Factory_A_Cairo
L47389,L,Factory_A_Cairo
L47390,L,Factory_A_Cairo
L47391,L,Factory_A_Cairo
H29626,H,Factory_C_Giza
L47393,L,Factory_A_Cairo
M15074,M,Factory_B_Alex
L47395,L,Factory_B_Alex
L47396,L,Factory_B_Alex
L47397,L,Factory_C_Giza
L47398,L,Factory_A_Cairo
M15079,M,Factory_A_Cairo
L47400,L,Factory_A_Cairo
H29635,H,Factory_C_Giza
L47402,L,Factory_B_Alex
L47403,L,Factory_B_Alex
L47404,L,Factory_A_Cairo
L47405,L,Factory_B_Alex
L47406,L,Factory_B_Alex
L47407,L,Factory_C_Giza
M15088,M,Factory_C_Giza
L47409,L,Factory_C_Giza
L47410,L,Factory_C_Giza
L47411,L,Factory_A_Cairo
L47412,L,Factory_C_Giza
L47413,L,Factory_B_Alex
L47414,L,Factory_A_Cairo
M15095,M,Factory_B_Alex
L47416,L,Factory_B_Alex
M15097,M,Factory_B_Alex
L47418,L,Factory_C_Giza
L47419,L,Factory_C_Giza
M15100,M,Factory_A_Cairo
L47421,L,Factory_A_Cairo
L47422,L,Factory_C_Giza
L47423,L,Factory_B_Alex
M15104,M,Factory_A_Cairo
M15105,M,Factory_C_Giza
L47426,L,Factory_C_Giza
L47427,L,Factory_C_Giza
L47428,L,Factory_B_Alex
L47429,L,Factory_C_Giza
L47430,L,Factory_C_Giza
M15111,M,Factory_C_Giza
L47432,L,Factory_C_Giza
L47433,L,Factory_A_Cairo
L47434,L,Factory_A_Cairo
L47435,L,Factory_C_Giza
L47436,L,Factory_B_Alex
L47437,L,Factory_A_Cairo
L47438,L,Factory_C_Giza
M15119,M,Factory_A_Cairo
M15120,M,Factory_A_Cairo
L47441,L,Factory_B_Alex
M15122,M,Factory_C_Giza
M15123,M,Factory_C_Giza
L47444,L,Factory_B_Alex
L47445,L,Factory_B_Alex
H29680,H,Factory_C_Giza
L47447,L,Factory_C_Giza
H29682,H,Factory_B_Alex
L47449,L,Factory_A_Cairo
H29684,H,Factory_A_Cairo
M15131,M,Factory_B_Alex
L47452,L,Factory_A_Cairo
L47453,L,Factory_B_Alex
L47454,L,Factory_A_Cairo
L47455,L,Factory_A_Cairo
M15136,M,Factory_C_Giza
H29691,H,Factory_C_Giza
M15138,M,Factory_A_Cairo
L47459,L,Factory_A_Cairo
M15140,M,Factory_C_Giza
L47461,L,Factory_C_Giza
M15142,M,Factory_C_Giza
L47463,L,Factory_B_Alex
L47464,L,Factory_A_Cairo
L47465,L,Factory_C_Giza
L47466,L,Factory_A_Cairo
L47467,L,Factory_B_Alex
H29702,H,Factory_B_Alex
L47469,L,Factory_C_Giza
L47470,L,Factory_B_Alex
L47471,L,Factory_A_Cairo
L47472,L,Factory_C_Giza
H29707,H,Factory_A_Cairo
M15154,M,Factory_A_Cairo
M15155,M,Factory_B_Alex
L47476,L,Factory_B_Alex
L47477,L,Factory_B_Alex
H29712,H,Factory_B_Alex
M15159,M,Factory_B_Alex
L47480,L,Factory_C_Giza
L47481,L,Factory_A_Cairo
H29716,H,Factory_A_Cairo
M15163,M,Factory_A_Cairo
L47484,L,Factory_A_Cairo
L47485,L,Factory_B_Alex
L47486,L,Factory_A_Cairo
M15167,M,Factory_C_Giza
L47488,L,Factory_C_Giza
M15169,M,Factory_A_Cairo
H29724,H,Factory_A_Cairo
M15171,M,Factory_C_Giza
L47492,L,Factory_C_Giza
L47493,L,Factory_B_Alex
M15174,M,Factory_C_Giza
L47495,L,Factory_B_Alex
L47496,L,Factory_B_Alex
L47497,L,Factory_B_Alex
L47498,L,Factory_B_Alex
L47499,L,Factory_B_Alex
H29734,H,Factory_A_Cairo
L47501,L,Factory_C_Giza
L47502,L,Factory_B_Alex
L47503,L,Factory_C_Giza
M15184,M,Factory_C_Giza
L47505,L,Factory_B_Alex
L47506,L,Factory_A_Cairo
L47507,L,Factory_B_Alex
H29742,H,Factory_A_Cairo
H29743,H,Factory_C_Giza
M15190,M,Factory_A_Cairo
M15191,M,Factory_A_Cairo
M15192,M,Factory_A_Cairo
L47513,L,Factory_C_Giza
M15194,M,Factory_C_Giza
L47515,L,Factory_A_Cairo
M15196,M,Factory_A_Cairo
L47517,L,Factory_B_Alex
L47518,L,Factory_A_Cairo
M15199,M,Factory_B_Alex
L47520,L,Factory_A_Cairo
M15201,M,Factory_B_Alex
L47522,L,Factory_C_Giza
L47523,L,Factory_A_Cairo
M15204,M,Factory_A_Cairo
L47525,L,Factory_A_Cairo
M15206,M,Factory_A_Cairo
L47527,L,Factory_B_Alex
L47528,L,Factory_A_Cairo
L47529,L,Factory_C_Giza
H29764,H,Factory_C_Giza
M15211,M,Factory_A_Cairo
M15212,M,Factory_C_Giza
H29767,H,Factory_A_Cairo
L47534,L,Factory_A_Cairo
L47535,L,Factory_C_Giza
M15216,M,Factory_A_Cairo
L47537,L,Factory_C_Giza
M15218,M,Factory_B_Alex
M15219,M,Factory_A_Cairo
M15220,M,Factory_B_Alex
L47541,L,Factory_C_Giza
H29776,H,Factory_B_Alex
L47543,L,Factory_B_Alex
L47544,L,Factory_C_Giza
L47545,L,Factory_B_Alex
M15226,M,Factory_B_Alex
M15227,M,Factory_C_Giza
L47548,L,Factory_B_Alex
H29783,H,Factory_C_Giza
M15230,M,Factory_B_Alex
L47551,L,Factory_C_Giza
M15232,M,Factory_C_Giza
L47553,L,Factory_B_Alex
L47554,L,Factory_B_Alex
L47555,L,Factory_B_Alex
M15236,M,Factory_A_Cairo
M15237,M,Factory_A_Cairo
L47558,L,Factory_A_Cairo
L47559,L,Factory_C_Giza
L47560,L,Factory_B_Alex
L47561,L,Factory_C_Giza
L47562,L,Factory_A_Cairo
M15243,M,Factory_B_Alex
L47564,L,Factory_C_Giza
M15245,M,Factory_B_Alex
L47566,L,Factory_C_Giza
L47567,L,Factory_B_Alex
L47568,L,Factory_A_Cairo
M15249,M,Factory_A_Cairo
L47570,L,Factory_B_Alex
L47571,L,Factory_C_Giza
M15252,M,Factory_A_Cairo
M15253,M,Factory_A_Cairo
L47574,L,Factory_A_Cairo
L47575,L,Factory_B_Alex
L47576,L,Factory_B_Alex
M15257,M,Factory_C_Giza
H29812,H,Factory_C_Giza
L47579,L,Factory_C_Giza
L47580,L,Factory_B_Alex
L47581,L,Factory_B_Alex
L47582,L,Factory_C_Giza
L47583,L,Factory_C_Giza
L47584,L,Factory_B_Alex
L47585,L,Factory_C_Giza
L47586,L,Factory_A_Cairo
M15267,M,Factory_B_Alex
M15268,M,Factory_C_Giza
L47589,L,Factory_B_Alex
M15270,M,Factory_A_Cairo
L47591,L,Factory_B_Alex
L47592,L,Factory_B_Alex
L47593,L,Factory_B_Alex
L47594,L,Factory_B_Alex
L47595,L,Factory_A_Cairo
L47596,L,Factory_B_Alex
L47597,L,Factory_B_Alex
L47598,L,Factory_C_Giza
M15279,M,Factory_B_Alex
M15280,M,Factory_C_Giza
M15281,M,Factory_A_Cairo
L47602,L,Factory_A_Cairo
L47603,L,Factory_A_Cairo
L47604,L,Factory_A_Cairo
M15285,M,Factory_C_Giza
L47606,L,Factory_B_Alex
M15287,M,Factory_A_Cairo
M15288,M,Factory_B_Alex
L47609,L,Factory_C_Giza
L47610,L,Factory_C_Giza
L47611,L,Factory_C_Giza
M15292,M,Factory_A_Cairo
M15293,M,Factory_B_Alex
M15294,M,Factory_B_Alex
L47615,L,Factory_B_Alex
L47616,L,Factory_C_Giza
L47617,L,Factory_A_Cairo
L47618,L,Factory_C_Giza
M15299,M,Factory_C_Giza
L47620,L,Factory_B_Alex
H29855,H,Factory_C_Giza
L47622,L,Factory_B_Alex
H29857,H,Factory_A_Cairo
L47624,L,Factory_B_Alex
L47625,L,Factory_A_Cairo
L47626,L,Factory_B_Alex
M15307,M,Factory_C_Giza
L47628,L,Factory_C_Giza
L47629,L,Factory_A_Cairo
M15310,M,Factory_A_Cairo
H29865,H,Factory_A_Cairo
M15312,M,Factory_B_Alex
L47633,L,Factory_B_Alex
L47634,L,Factory_A_Cairo
L47635,L,Factory_C_Giza
H29870,H,Factory_B_Alex
L47637,L,Factory_B_Alex
L47638,L,Factory_B_Alex
L47639,L,Factory_A_Cairo
H29874,H,Factory_A_Cairo
L47641,L,Factory_A_Cairo
L47642,L,Factory_A_Cairo
L47643,L,Factory_A_Cairo
L47644,L,Factory_C_Giza
M15325,M,Factory_C_Giza
L47646,L,Factory_A_Cairo
L47647,L,Factory_B_Alex
L47648,L,Factory_A_Cairo
M15329,M,Factory_C_Giza
H29884,H,Factory_C_Giza
H29885,H,Factory_B_Alex
M15332,M,Factory_C_Giza
M15333,M,Factory_A_Cairo
L47654,L,Factory_B_Alex
L47655,L,Factory_A_Cairo
L47656,L,Factory_A_Cairo
H29891,H,Factory_B_Alex
L47658,L,Factory_A_Cairo
M15339,M,Factory_C_Giza
L47660,L,Factory_A_Cairo
M15341,M,Factory_B_Alex
L47662,L,Factory_B_Alex
L47663,L,Factory_B_Alex
L47664,L,Factory_A_Cairo
M15345,M,Factory_B_Alex
M15346,M,Factory_B_Alex
M15347,M,Factory_A_Cairo
L47668,L,Factory_C_Giza
M15349,M,Factory_A_Cairo
L47670,L,Factory_B_Alex
L47671,L,Factory_B_Alex
L47672,L,Factory_A_Cairo
L47673,L,Factory_C_Giza
L47674,L,Factory_B_Alex
H29909,H,Factory_B_Alex
M15356,M,Factory_B_Alex
L47677,L,Factory_A_Cairo
L47678,L,Factory_B_Alex
L47679,L,Factory_C_Giza
M15360,M,Factory_B_Alex
M15361,M,Factory_B_Alex
L47682,L,Factory_C_Giza
M15363,M,Factory_B_Alex
M15364,M,Factory_A_Cairo
L47685,L,Factory_A_Cairo
L47686,L,Factory_A_Cairo
H29921,H,Factory_C_Giza
L47688,L,Factory_B_Alex
M15369,M,Factory_A_Cairo
L47690,L,Factory_C_Giza
L47691,L,Factory_B_Alex
L47692,L,Factory_C_Giza
L47693,L,Factory_A_Cairo
L47694,L,Factory_A_Cairo
L47695,L,Factory_A_Cairo
L47696,L,Factory_C_Giza
M15377,M,Factory_C_Giza
L47698,L,Factory_A_Cairo
M15379,M,Factory_C_Giza
L47700,L,Factory_A_Cairo
L47701,L,Factory_A_Cairo
M15382,M,Factory_B_Alex
L47703,L,Factory_C_Giza
L47704,L,Factory_A_Cairo
L47705,L,Factory_A_Cairo
L47706,L,Factory_C_Giza
M15387,M,Factory_B_Alex
M15388,M,Factory_B_Alex
L47709,L,Factory_A_Cairo
M15390,M,Factory_C_Giza
L47711,L,Factory_B_Alex
L47712,L,Factory_C_Giza
L47713,L,Factory_C_Giza
L47714,L,Factory_A_Cairo
H29949,H,Factory_B_Alex
L47716,L,Factory_A_Cairo
H29951,H,Factory_B_Alex
M15398,M,Factory_B_Alex
M15399,M,Factory_B_Alex
L47720,L,Factory_B_Alex
L47721,L,Factory_B_Alex
L47722,L,Factory_C_Giza
H29957,H,Factory_A_Cairo
M15404,M,Factory_C_Giza
L47725,L,Factory_B_Alex
L47726,L,Factory_A_Cairo
M15407,M,Factory_B_Alex
L47728,L,Factory_A_Cairo
L47729,L,Factory_C_Giza
L47730,L,Factory_A_Cairo
L47731,L,Factory_A_Cairo
M15412,M,Factory_A_Cairo
M15413,M,Factory_A_Cairo
H29968,H,Factory_A_Cairo
M15415,M,Factory_B_Alex
L47736,L,Factory_A_Cairo
M15417,M,Factory_A_Cairo
L47738,L,Factory_C_Giza
L47739,L,Factory_A_Cairo
L47740,L,Factory_C_Giza
M15421,M,Factory_B_Alex
L47742,L,Factory_A_Cairo
L47743,L,Factory_C_Giza
H29978,H,Factory_C_Giza
H29979,H,Factory_B_Alex
M15426,M,Factory_A_Cairo
M15427,M,Factory_A_Cairo
L47748,L,Factory_C_Giza
M15429,M,Factory_A_Cairo
L47750,L,Factory_C_Giza
M15431,M,Factory_A_Cairo
L47752,L,Factory_C_Giza
L47753,L,Factory_A_Cairo
M15434,M,Factory_B_Alex
M15435,M,Factory_A_Cairo
H29990,H,Factory_A_Cairo
L47757,L,Factory_B_Alex
L47758,L,Factory_A_Cairo
M15439,M,Factory_B_Alex
M15440,M,Factory_A_Cairo
L47761,L,Factory_C_Giza
L47762,L,Factory_C_Giza
H29997,H,Factory_A_Cairo
H29998,H,Factory_A_Cairo
L47765,L,Factory_A_Cairo
L47766,L,Factory_C_Giza
H30001,H,Factory_A_Cairo
L47768,L,Factory_C_Giza
L47769,L,Factory_B_Alex
L47770,L,Factory_C_Giza
H30005,H,Factory_C_Giza
H30006,H,Factory_B_Alex
L47773,L,Factory_C_Giza
H30008,H,Factory_A_Cairo
M15455,M,Factory_A_Cairo
M15456,M,Factory_C_Giza
H30011,H,Factory_A_Cairo
L47778,L,Factory_C_Giza
H30013,H,Factory_A_Cairo
L47780,L,Factory_A_Cairo
L47781,L,Factory_C_Giza
L47782,L,Factory_A_Cairo
L47783,L,Factory_C_Giza
L47784,L,Factory_A_Cairo
M15465,M,Factory_A_Cairo
L47786,L,Factory_B_Alex
M15467,M,Factory_B_Alex
L47788,L,Factory_C_Giza
L47789,L,Factory_B_Alex
L47790,L,Factory_C_Giza
L47791,L,Factory_B_Alex
L47792,L,Factory_A_Cairo
L47793,L,Factory_C_Giza
M15474,M,Factory_C_Giza
L47795,L,Factory_A_Cairo
H30030,H,Factory_C_Giza
M15477,M,Factory_C_Giza
H30032,H,Factory_B_Alex
L47799,L,Factory_C_Giza
M15480,M,Factory_A_Cairo
L47801,L,Factory_B_Alex
M15482,M,Factory_B_Alex
L47803,L,Factory_A_Cairo
H30038,H,Factory_A_Cairo
L47805,L,Factory_B_Alex
L47806,L,Factory_C_Giza
L47807,L,Factory_B_Alex
M15488,M,Factory_A_Cairo
L47809,L,Factory_B_Alex
L47810,L,Factory_A_Cairo
L47811,L,Factory_B_Alex
H30046,H,Factory_C_Giza
L47813,L,Factory_B_Alex
L47814,L,Factory_B_Alex
L47815,L,Factory_A_Cairo
L47816,L,Factory_A_Cairo
L47817,L,Factory_A_Cairo
L47818,L,Factory_B_Alex
L47819,L,Factory_C_Giza
M15500,M,Factory_A_Cairo
L47821,L,Factory_A_Cairo
M15502,M,Factory_B_Alex
M15503,M,Factory_A_Cairo
H30058,H,Factory_C_Giza
L47825,L,Factory_C_Giza
M15506,M,Factory_A_Cairo
L47827,L,Factory_A_Cairo
H30062,H,Factory_B_Alex
M15509,M,Factory_C_Giza
L47830,L,Factory_C_Giza
L47831,L,Factory_A_Cairo
L47832,L,Factory_B_Alex
L47833,L,Factory_C_Giza
L47834,L,Factory_C_Giza
L47835,L,Factory_B_Alex
M15516,M,Factory_B_Alex
L47837,L,Factory_C_Giza
L47838,L,Factory_C_Giza
L47839,L,Factory_B_Alex
M15520,M,Factory_C_Giza
M15521,M,Factory_A_Cairo
M15522,M,Factory_A_Cairo
L47843,L,Factory_B_Alex
L47844,L,Factory_B_Alex
L47845,L,Factory_B_Alex
L47846,L,Factory_A_Cairo
L47847,L,Factory_C_Giza
L47848,L,Factory_A_Cairo
H30083,H,Factory_C_Giza
L47850,L,Factory_A_Cairo
L47851,L,Factory_C_Giza
M15532,M,Factory_A_Cairo
L47853,L,Factory_B_Alex
L47854,L,Factory_A_Cairo
M15535,M,Factory_C_Giza
H30090,H,Factory_A_Cairo
L47857,L,Factory_A_Cairo
M15538,M,Factory_A_Cairo
L47859,L,Factory_B_Alex
M15540,M,Factory_A_Cairo
M15541,M,Factory_B_Alex
H30096,H,Factory_B_Alex
L47863,L,Factory_A_Cairo
L47864,L,Factory_A_Cairo
M15545,M,Factory_A_Cairo
M15546,M,Factory_C_Giza
M15547,M,Factory_A_Cairo
H30102,H,Factory_B_Alex
H30103,H,Factory_A_Cairo
H30104,H,Factory_C_Giza
L47871,L,Factory_A_Cairo
L47872,L,Factory_C_Giza
L47873,L,Factory_C_Giza
L47874,L,Factory_A_Cairo
L47875,L,Factory_B_Alex
M15556,M,Factory_C_Giza
M15557,M,Factory_A_Cairo
L47878,L,Factory_A_Cairo
H30113,H,Factory_B_Alex
M15560,M,Factory_C_Giza
L47881,L,Factory_C_Giza
M15562,M,Factory_A_Cairo
H30117,H,Factory_A_Cairo
L47884,L,Factory_B_Alex
L47885,L,Factory_B_Alex
M15566,M,Factory_C_Giza
L47887,L,Factory_C_Giza
M15568,M,Factory_A_Cairo
M15569,M,Factory_C_Giza
M15570,M,Factory_B_Alex
L47891,L,Factory_B_Alex
L47892,L,Factory_A_Cairo
L47893,L,Factory_B_Alex
L47894,L,Factory_B_Alex
L47895,L,Factory_B_Alex
H30130,H,Factory_B_Alex
L47897,L,Factory_A_Cairo
L47898,L,Factory_A_Cairo
L47899,L,Factory_C_Giza
L47900,L,Factory_B_Alex
L47901,L,Factory_C_Giza
L47902,L,Factory_A_Cairo
M15583,M,Factory_A_Cairo
L47904,L,Factory_A_Cairo
L47905,L,Factory_A_Cairo
M15586,M,Factory_A_Cairo
H30141,H,Factory_A_Cairo
M15588,M,Factory_A_Cairo
L47909,L,Factory_B_Alex
M15590,M,Factory_C_Giza
M15591,M,Factory_A_Cairo
L47912,L,Factory_B_Alex
M15593,M,Factory_B_Alex
H30148,H,Factory_C_Giza
L47915,L,Factory_A_Cairo
L47916,L,Factory_C_Giza
H30151,H,Factory_A_Cairo
L47918,L,Factory_B_Alex
L47919,L,Factory_B_Alex
M15600,M,Factory_B_Alex
L47921,L,Factory_B_Alex
L47922,L,Factory_C_Giza
L47923,L,Factory_A_Cairo
L47924,L,Factory_A_Cairo
L47925,L,Factory_C_Giza
L47926,L,Factory_A_Cairo
L47927,L,Factory_B_Alex
H30162,H,Factory_A_Cairo
L47929,L,Factory_B_Alex
L47930,L,Factory_C_Giza
M15611,M,Factory_A_Cairo
L47932,L,Factory_C_Giza
L47933,L,Factory_A_Cairo
M15614,M,Factory_B_Alex
H30169,H,Factory_C_Giza
L47936,L,Factory_A_Cairo
L47937,L,Factory_B_Alex
L47938,L,Factory_C_Giza
M15619,M,Factory_C_Giza
L47940,L,Factory_A_Cairo
L47941,L,Factory_A_Cairo
M15622,M,Factory_A_Cairo
L47943,L,Factory_B_Alex
L47944,L,Factory_A_Cairo
L47945,L,Factory_C_Giza
L47946,L,Factory_C_Giza
L47947,L,Factory_A_Cairo
L47948,L,Factory_A_Cairo
L47949,L,Factory_C_Giza
L47950,L,Factory_B_Alex
H30185,H,Factory_A_Cairo
H30186,H,Factory_A_Cairo
L47953,L,Factory_C_Giza
L47954,L,Factory_A_Cairo
L47955,L,Factory_B_Alex
L47956,L,Factory_C_Giza
L47957,L,Factory_A_Cairo
L47958,L,Factory_C_Giza
L47959,L,Factory_A_Cairo
M15640,M,Factory_A_Cairo
L47961,L,Factory_A_Cairo
L47962,L,Factory_B_Alex
H30197,H,Factory_B_Alex
L47964,L,Factory_C_Giza
M15645,M,Factory_A_Cairo
L47966,L,Factory_A_Cairo
L47967,L,Factory_B_Alex
M15648,M,Factory_A_Cairo
M15649,M,Factory_B_Alex
L47970,L,Factory_A_Cairo
L47971,L,Factory_C_Giza
L47972,L,Factory_A_Cairo
M15653,M,Factory_A_Cairo
H30208,H,Factory_B_Alex
L47975,L,Factory_A_Cairo
M15656,M,Factory_A_Cairo
L47977,L,Factory_B_Alex
M15658,M,Factory_C_Giza
M15659,M,Factory_C_Giza
M15660,M,Factory_B_Alex
L47981,L,Factory_B_Alex
L47982,L,Factory_B_Alex
H30217,H,Factory_B_Alex
M15664,M,Factory_B_Alex
M15665,M,Factory_C_Giza
M15666,M,Factory_C_Giza
L47987,L,Factory_B_Alex
L47988,L,Factory_A_Cairo
L47989,L,Factory_B_Alex
L47990,L,Factory_A_Cairo
L47991,L,Factory_B_Alex
L47992,L,Factory_B_Alex
L47993,L,Factory_C_Giza
M15674,M,Factory_A_Cairo
M15675,M,Factory_A_Cairo
L47996,L,Factory_C_Giza
L47997,L,Factory_C_Giza
L47998,L,Factory_C_Giza
L47999,L,Factory_C_Giza
L48000,L,Factory_A_Cairo
L48001,L,Factory_A_Cairo
M15682,M,Factory_B_Alex
M15683,M,Factory_B_Alex
L48004,L,Factory_C_Giza
L48005,L,Factory_C_Giza
L48006,L,Factory_C_Giza
L48007,L,Factory_B_Alex
L48008,L,Factory_B_Alex
L48009,L,Factory_B_Alex
L48010,L,Factory_B_Alex
M15691,M,Factory_B_Alex
L48012,L,Factory_B_Alex
L48013,L,Factory_B_Alex
H30248,H,Factory_C_Giza
M15695,M,Factory_C_Giza
L48016,L,Factory_C_Giza
L48017,L,Factory_C_Giza
H30252,H,Factory_B_Alex
M15699,M,Factory_A_Cairo
L48020,L,Factory_B_Alex
L48021,L,Factory_A_Cairo
M15702,M,Factory_C_Giza
L48023,L,Factory_B_Alex
L48024,L,Factory_C_Giza
L48025,L,Factory_B_Alex
M15706,M,Factory_C_Giza
L48027,L,Factory_A_Cairo
L48028,L,Factory_A_Cairo
H30263,H,Factory_A_Cairo
L48030,L,Factory_B_Alex
M15711,M,Factory_A_Cairo
M15712,M,Factory_B_Alex
