UDI,Timestamp,Product ID,Planned_Time_mins,Ideal_Cycle_Time_mins_per_piece,Total_Pieces,Defective_Pieces
47,2024-01-01 15:40:00,M14906,10,0.2,47,1
48,2024-01-01 15:50:00,L47227,10,0.2,47,0
49,2024-01-01 16:00:00,H29462,10,0.2,47,2
50,2024-01-01 16:10:00,M14909,10,0.2,47,1
51,2024-01-01 16:20:00,L47230,10,0.2,0,0
52,2024-01-01 16:30:00,L47231,10,0.2,49,0
53,2024-01-01 16:40:00,H29466,10,0.2,45,0
54,2024-01-01 16:50:00,L47233,10,0.2,46,1
55,2024-01-01 17:00:00,L47234,10,0.2,50,2
56,2024-01-01 17:10:00,L47235,10,0.2,46,0
57,2024-01-01 17:20:00,L47236,10,0.2,48,1
58,2024-01-01 17:30:00,L47237,10,0.2,49,0
59,2024-01-01 17:40:00,M14918,10,0.2,47,1
60,2024-01-01 17:50:00,L47239,10,0.2,47,2
61,2024-01-01 18:00:00,L47240,10,0.2,48,2
62,2024-01-01 18:10:00,M14921,10,0.2,46,0
63,2024-01-01 18:20:00,L47242,10,0.2,47,2
64,2024-01-01 18:30:00,M14923,10,0.2,46,2
65,2024-01-01 18:40:00,L47244,10,0.2,50,1
66,2024-01-01 18:50:00,L47245,10,0.2,48,1
67,2024-01-01 19:00:00,M14926,10,0.2,46,0
68,2024-01-01 19:10:00,H29481,10,0.2,50,1
69,2024-01-01 19:20:00,L47248,10,0.2,46,2
70,2024-01-01 19:30:00,L47249,10,0.2,9,1
71,2024-01-01 19:40:00,M14930,10,0.2,47,2
72,2024-01-01 19:50:00,L47251,10,0.2,45,0
73,2024-01-01 20:00:00,L47252,10,0.2,49,2
74,2024-01-01 20:10:00,L47253,10,0.2,46,1
75,2024-01-01 20:20:00,L47254,10,0.2,46,1
76,2024-01-01 20:30:00,L47255,10,0.2,46,1
77,2024-01-01 20:40:00,L47256,10,0.2,45,1
78,2024-01-01 20:50:00,L47257,10,0.2,1,0
79,2024-01-01 21:00:00,L47258,10,0.2,48,2
80,2024-01-01 21:10:00,L47259,10,0.2,47,1
81,2024-01-01 21:20:00,H29494,10,0.2,45,2
82,2024-01-01 21:30:00,L47261,10,0.2,50,0
83,2024-01-01 21:40:00,L47262,10,0.2,46,2
84,2024-01-01 21:50:00,L47263,10,0.2,50,1
85,2024-01-01 22:00:00,L47264,10,0.2,45,2
86,2024-01-01 22:10:00,M14945,10,0.2,45,1
87,2024-01-01 22:20:00,H29500,10,0.2,45,1
88,2024-01-01 22:30:00,L47267,10,0.2,48,0
89,2024-01-01 22:40:00,M14948,10,0.2,49,0
90,2024-01-01 22:50:00,M14949,10,0.2,47,2
91,2024-01-01 23:00:00,L47270,10,0.2,48,2
92,2024-01-01 23:10:00,L47271,10,0.2,48,1
93,2024-01-01 23:20:00,M14952,10,0.2,49,1
94,2024-01-01 23:30:00,L47273,10,0.2,48,1
95,2024-01-01 23:40:00,L47274,10,0.2,45,1
96,2024-01-01 23:50:00,M14955,10,0.2,45,0
97,2024-01-02 00:00:00,M14956,10,0.2,50,1
98,2024-01-02 00:10:00,M14957,10,0.2,46,0
99,2024-01-02 00:20:00,L47278,10,0.2,48,2
100,2024-01-02 00:30:00,L47279,10,0.2,46,2
101,2024-01-02 00:40:00,L47280,10,0.2,47,0
102,2024-01-02 00:50:00,L47281,10,0.2,45,1
103,2024-01-02 01:00:00,L47282,10,0.2,50,2
104,2024-01-02 01:10:00,M14963,10,0.2,47,0
105,2024-01-02 01:20:00,L47284,10,0.2,50,2
106,2024-01-02 01:30:00,L47285,10,0.2,49,1
107,2024-01-02 01:40:00,L47286,10,0.2,45,0
108,2024-01-02 01:50:00,M14967,10,0.2,47,2
109,2024-01-02 02:00:00,H29522,10,0.2,49,1
110,2024-01-02 02:10:00,L47289,10,0.2,47,0
111,2024-01-02 02:20:00,L47290,10,0.2,50,0
112,2024-01-02 02:30:00,H29525,10,0.2,49,0
113,2024-01-02 02:40:00,M14972,10,0.2,49,0
114,2024-01-02 02:50:00,M14973,10,0.2,45,2
115,2024-01-02 03:00:00,L47294,10,0.2,46,0
116,2024-01-02 03:10:00,L47295,10,0.2,50,0
117,2024-01-02 03:20:00,L47296,10,0.2,50,0
118,2024-01-02 03:30:00,L47297,10,0.2,49,0
119,2024-01-02 03:40:00,M14978,10,0.2,49,0
120,2024-01-02 03:50:00,L47299,10,0.2,45,1
121,2024-01-02 04:00:00,L47300,10,0.2,46,2
122,2024-01-02 04:10:00,L47301,10,0.2,50,1
123,2024-01-02 04:20:00,L47302,10,0.2,48,2
124,2024-01-02 04:30:00,L47303,10,0.2,48,0
125,2024-01-02 04:40:00,L47304,10,0.2,46,2
126,2024-01-02 04:50:00,L47305,10,0.2,47,0
127,2024-01-02 05:00:00,L47306,10,0.2,45,0
128,2024-01-02 05:10:00,L47307,10,0.2,46,1
129,2024-01-02 05:20:00,L47308,10,0.2,48,1
130,2024-01-02 05:30:00,L47309,10,0.2,49,1
131,2024-01-02 05:40:00,L47310,10,0.2,48,2
132,2024-01-02 05:50:00,L47311,10,0.2,49,2
133,2024-01-02 06:00:00,M14992,10,0.2,45,1
134,2024-01-02 06:10:00,M14993,10,0.2,49,1
135,2024-01-02 06:20:00,L47314,10,0.2,46,0
136,2024-01-02 06:30:00,M14995,10,0.2,49,2
137,2024-01-02 06:40:00,H29550,10,0.2,47,0
138,2024-01-02 06:50:00,L47317,10,0.2,46,2
139,2024-01-02 07:00:00,H29552,10,0.2,45,1
140,2024-01-02 07:10:00,L47319,10,0.2,46,2
141,2024-01-02 07:20:00,L47320,10,0.2,47,2
142,2024-01-02 07:30:00,L47321,10,0.2,45,0
143,2024-01-02 07:40:00,M15002,10,0.2,48,1
144,2024-01-02 07:50:00,H29557,10,0.2,47,1
145,2024-01-02 08:00:00,M15004,10,0.2,45,1
146,2024-01-02 08:10:00,L47325,10,0.2,49,0
147,2024-01-02 08:20:00,H29560,10,0.2,46,0
148,2024-01-02 08:30:00,L47327,10,0.2,45,0
149,2024-01-02 08:40:00,M15008,10,0.2,46,2
150,2024-01-02 08:50:00,L47329,10,0.2,49,2
151,2024-01-02 09:00:00,L47330,10,0.2,45,0
152,2024-01-02 09:10:00,M15011,10,0.2,48,0
153,2024-01-02 09:20:00,M15012,10,0.2,47,1
154,2024-01-02 09:30:00,L47333,10,0.2,45,2
155,2024-01-02 09:40:00,L47334,10,0.2,49,2
156,2024-01-02 09:50:00,H29569,10,0.2,45,1
157,2024-01-02 10:00:00,M15016,10,0.2,46,1
158,2024-01-02 10:10:00,H29571,10,0.2,50,1
159,2024-01-02 10:20:00,M15018,10,0.2,45,0
160,2024-01-02 10:30:00,L47339,10,0.2,48,0
161,2024-01-02 10:40:00,L47340,10,0.2,8,0
162,2024-01-02 10:50:00,L47341,10,0.2,3,0
163,2024-01-02 11:00:00,L47342,10,0.2,45,0
164,2024-01-02 11:10:00,M15023,10,0.2,50,2
165,2024-01-02 11:20:00,M15024,10,0.2,46,2
166,2024-01-02 11:30:00,L47345,10,0.2,45,2
167,2024-01-02 11:40:00,H29580,10,0.2,48,1
168,2024-01-02 11:50:00,H29581,10,0.2,49,2
169,2024-01-02 12:00:00,L47348,10,0.2,1,1
170,2024-01-02 12:10:00,L47349,10,0.2,45,2
171,2024-01-02 12:20:00,M15030,10,0.2,47,0
172,2024-01-02 12:30:00,L47351,10,0.2,48,2
173,2024-01-02 12:40:00,M15032,10,0.2,50,0
174,2024-01-02 12:50:00,M15033,10,0.2,49,0
175,2024-01-02 13:00:00,L47354,10,0.2,46,2
176,2024-01-02 13:10:00,L47355,10,0.2,45,2
177,2024-01-02 13:20:00,L47356,10,0.2,50,0
178,2024-01-02 13:30:00,L47357,10,0.2,49,1
179,2024-01-02 13:40:00,L47358,10,0.2,46,1
180,2024-01-02 13:50:00,L47359,10,0.2,50,2
181,2024-01-02 14:00:00,L47360,10,0.2,48,0
182,2024-01-02 14:10:00,H29595,10,0.2,48,1
183,2024-01-02 14:20:00,M15042,10,0.2,49,2
184,2024-01-02 14:30:00,L47363,10,0.2,46,2
185,2024-01-02 14:40:00,L47364,10,0.2,48,0
186,2024-01-02 14:50:00,L47365,10,0.2,49,1
187,2024-01-02 15:00:00,L47366,10,0.2,48,2
188,2024-01-02 15:10:00,L47367,10,0.2,48,1
189,2024-01-02 15:20:00,L47368,10,0.2,50,2
190,2024-01-02 15:30:00,M15049,10,0.2,50,2
191,2024-01-02 15:40:00,L47370,10,0.2,48,1
192,2024-01-02 15:50:00,L47371,10,0.2,47,1
193,2024-01-02 16:00:00,H29606,10,0.2,50,0
194,2024-01-02 16:10:00,H29607,10,0.2,46,0
195,2024-01-02 16:20:00,M15054,10,0.2,8,0
196,2024-01-02 16:30:00,L47375,10,0.2,49,0
197,2024-01-02 16:40:00,H29610,10,0.2,46,1
198,2024-01-02 16:50:00,M15057,10,0.2,46,0
199,2024-01-02 17:00:00,L47378,10,0.2,46,1
200,2024-01-02 17:10:00,L47379,10,0.2,46,2
201,2024-01-02 17:20:00,L47380,10,0.2,45,1
202,2024-01-02 17:30:00,L47381,10,0.2,49,0
203,2024-01-02 17:40:00,M15062,10,0.2,45,1
204,2024-01-02 17:50:00,L47383,10,0.2,48,1
205,2024-01-02 18:00:00,L47384,10,0.2,48,1
206,2024-01-02 18:10:00,M15065,10,0.2,49,1
207,2024-01-02 18:20:00,L47386,10,0.2,48,1
208,2024-01-02 18:30:00,M15067,10,0.2,2,0
209,2024-01-02 18:40:00,L47388,10,0.2,45,1
210,2024-01-02 18:50:00,L47389,10,0.2,46,0
211,2024-01-02 19:00:00,L47390,10,0.2,48,2
212,2024-01-02 19:10:00,L47391,10,0.2,50,1
213,2024-01-02 19:20:00,H29626,10,0.2,45,2
214,2024-01-02 19:30:00,L47393,10,0.2,46,0
215,2024-01-02 19:40:00,M15074,10,0.2,49,1
216,2024-01-02 19:50:00,L47395,10,0.2,46,2
217,2024-01-02 20:00:00,L47396,10,0.2,50,0
218,2024-01-02 20:10:00,L47397,10,0.2,48,2
219,2024-01-02 20:20:00,L47398,10,0.2,45,1
220,2024-01-02 20:30:00,M15079,10,0.2,49,1
221,2024-01-02 20:40:00,L47400,10,0.2,45,1
222,2024-01-02 20:50:00,H29635,10,0.2,49,0
223,2024-01-02 21:00:00,L47402,10,0.2,45,2
224,2024-01-02 21:10:00,L47403,10,0.2,48,0
225,2024-01-02 21:20:00,L47404,10,0.2,49,2
226,2024-01-02 21:30:00,L47405,10,0.2,47,0
227,2024-01-02 21:40:00,L47406,10,0.2,45,1
228,2024-01-02 21:50:00,L47407,10,0.2,45,2
229,2024-01-02 22:00:00,M15088,10,0.2,46,2
230,2024-01-02 22:10:00,L47409,10,0.2,49,2
231,2024-01-02 22:20:00,L47410,10,0.2,50,0
232,2024-01-02 22:30:00,L47411,10,0.2,47,1
233,2024-01-02 22:40:00,L47412,10,0.2,48,2
234,2024-01-02 22:50:00,L47413,10,0.2,46,0
235,2024-01-02 23:00:00,L47414,10,0.2,47,2
236,2024-01-02 23:10:00,M15095,10,0.2,49,1
237,2024-01-02 23:20:00,L47416,10,0.2,47,2
238,2024-01-02 23:30:00,M15097,10,0.2,45,1
239,2024-01-02 23:40:00,L47418,10,0.2,45,0
240,2024-01-02 23:50:00,L47419,10,0.2,46,0
241,2024-01-03 00:00:00,M15100,10,0.2,49,1
242,2024-01-03 00:10:00,L47421,10,0.2,49,1
243,2024-01-03 00:20:00,L47422,10,0.2,4,0
244,2024-01-03 00:30:00,L47423,10,0.2,46,1
245,2024-01-03 00:40:00,M15104,10,0.2,49,1
246,2024-01-03 00:50:00,M15105,10,0.2,50,2
247,2024-01-03 01:00:00,L47426,10,0.2,50,0
248,2024-01-03 01:10:00,L47427,10,0.2,45,0
249,2024-01-03 01:20:00,L47428,10,0.2,5,1
250,2024-01-03 01:30:00,L47429,10,0.2,1,1
251,2024-01-03 01:40:00,L47430,10,0.2,45,1
252,2024-01-03 01:50:00,M15111,10,0.2,46,0
253,2024-01-03 02:00:00,L47432,10,0.2,49,2
254,2024-01-03 02:10:00,L47433,10,0.2,45,0
255,2024-01-03 02:20:00,L47434,10,0.2,48,2
256,2024-01-03 02:30:00,L47435,10,0.2,48,1
257,2024-01-03 02:40:00,L47436,10,0.2,50,0
258,2024-01-03 02:50:00,L47437,10,0.2,46,2
259,2024-01-03 03:00:00,L47438,10,0.2,45,0
260,2024-01-03 03:10:00,M15119,10,0.2,0,0
261,2024-01-03 03:20:00,M15120,10,0.2,45,2
262,2024-01-03 03:30:00,L47441,10,0.2,50,0
263,2024-01-03 03:40:00,M15122,10,0.2,48,1
264,2024-01-03 03:50:00,M15123,10,0.2,46,0
265,2024-01-03 04:00:00,L47444,10,0.2,46,1
266,2024-01-03 04:10:00,L47445,10,0.2,47,2
267,2024-01-03 04:20:00,H29680,10,0.2,46,2
268,2024-01-03 04:30:00,L47447,10,0.2,50,0
269,2024-01-03 04:40:00,H29682,10,0.2,50,0
270,2024-01-03 04:50:00,L47449,10,0.2,50,1
271,2024-01-03 05:00:00,H29684,10,0.2,46,1
272,2024-01-03 05:10:00,M15131,10,0.2,46,0
273,2024-01-03 05:20:00,L47452,10,0.2,50,1
274,2024-01-03 05:30:00,L47453,10,0.2,46,1
275,2024-01-03 05:40:00,L47454,10,0.2,46,0
276,2024-01-03 05:50:00,L47455,10,0.2,48,0
277,2024-01-03 06:00:00,M15136,10,0.2,45,2
278,2024-01-03 06:10:00,H29691,10,0.2,49,2
279,2024-01-03 06:20:00,M15138,10,0.2,46,0
280,2024-01-03 06:30:00,L47459,10,0.2,49,2
281,2024-01-03 06:40:00,M15140,10,0.2,49,1
282,2024-01-03 06:50:00,L47461,10,0.2,48,0
283,2024-01-03 07:00:00,M15142,10,0.2,46,2
284,2024-01-03 07:10:00,L47463,10,0.2,50,0
285,2024-01-03 07:20:00,L47464,10,0.2,49,2
286,2024-01-03 07:30:00,L47465,10,0.2,46,0
287,2024-01-03 07:40:00,L47466,10,0.2,47,1
288,2024-01-03 07:50:00,L47467,10,0.2,50,2
289,2024-01-03 08:00:00,H29702,10,0.2,47,0
290,2024-01-03 08:10:00,L47469,10,0.2,47,1
291,2024-01-03 08:20:00,L47470,10,0.2,49,2
292,2024-01-03 08:30:00,L47471,10,0.2,47,2
293,2024-01-03 08:40:00,L47472,10,0.2,48,0
294,2024-01-03 08:50:00,H29707,10,0.2,48,1
295,2024-01-03 09:00:00,M15154,10,0.2,49,0
296,2024-01-03 09:10:00,M15155,10,0.2,46,2
297,2024-01-03 09:20:00,L47476,10,0.2,45,0
298,2024-01-03 09:30:00,L47477,10,0.2,46,0
299,2024-01-03 09:40:00,H29712,10,0.2,46,1
300,2024-01-03 09:50:00,M15159,10,0.2,46,1
301,2024-01-03 10:00:00,L47480,10,0.2,46,2
302,2024-01-03 10:10:00,L47481,10,0.2,50,1
303,2024-01-03 10:20:00,H29716,10,0.2,45,0
304,2024-01-03 10:30:00,M15163,10,0.2,50,2
305,2024-01-03 10:40:00,L47484,10,0.2,47,1
306,2024-01-03 10:50:00,L47485,10,0.2,46,0
307,2024-01-03 11:00:00,L47486,10,0.2,48,0
308,2024-01-03 11:10:00,M15167,10,0.2,49,2
309,2024-01-03 11:20:00,L47488,10,0.2,49,2
310,2024-01-03 11:30:00,M15169,10,0.2,50,1
311,2024-01-03 11:40:00,H29724,10,0.2,50,1
312,2024-01-03 11:50:00,M15171,10,0.2,48,1
313,2024-01-03 12:00:00,L47492,10,0.2,46,1
314,2024-01-03 12:10:00,L47493,10,0.2,45,2
315,2024-01-03 12:20:00,M15174,10,0.2,47,0
316,2024-01-03 12:30:00,L47495,10,0.2,49,0
317,2024-01-03 12:40:00,L47496,10,0.2,47,1
318,2024-01-03 12:50:00,L47497,10,0.2,45,2
319,2024-01-03 13:00:00,L47498,10,0.2,50,1
320,2024-01-03 13:10:00,L47499,10,0.2,49,1
321,2024-01-03 13:20:00,H29734,10,0.2,47,2
322,2024-01-03 13:30:00,L47501,10,0.2,50,0
323,2024-01-03 13:40:00,L47502,10,0.2,45,0
324,2024-01-03 13:50:00,L47503,10,0.2,47,1
325,2024-01-03 14:00:00,M15184,10,0.2,46,2
326,2024-01-03 14:10:00,L47505,10,0.2,50,0
327,2024-01-03 14:20:00,L47506,10,0.2,45,0
328,2024-01-03 14:30:00,L47507,10,0.2,5,2
329,2024-01-03 14:40:00,H29742,10,0.2,46,2
330,2024-01-03 14:50:00,H29743,10,0.2,46,0
331,2024-01-03 15:00:00,M15190,10,0.2,45,1
332,2024-01-03 15:10:00,M15191,10,0.2,48,1
333,2024-01-03 15:20:00,M15192,10,0.2,49,0
334,2024-01-03 15:30:00,L47513,10,0.2,45,1
335,2024-01-03 15:40:00,M15194,10,0.2,46,1
336,2024-01-03 15:50:00,L47515,10,0.2,46,2
337,2024-01-03 16:00:00,M15196,10,0.2,45,2
338,2024-01-03 16:10:00,L47517,10,0.2,48,2
339,2024-01-03 16:20:00,L47518,10,0.2,49,1
340,2024-01-03 16:30:00,M15199,10,0.2,47,2
341,2024-01-03 16:40:00,L47520,10,0.2,45,2
342,2024-01-03 16:50:00,M15201,10,0.2,49,0
343,2024-01-03 17:00:00,L47522,10,0.2,49,2
344,2024-01-03 17:10:00,L47523,10,0.2,50,0
345,2024-01-03 17:20:00,M15204,10,0.2,46,1
346,2024-01-03 17:30:00,L47525,10,0.2,47,2
347,2024-01-03 17:40:00,M15206,10,0.2,45,0
348,2024-01-03 17:50:00,L47527,10,0.2,46,0
349,2024-01-03 18:00:00,L47528,10,0.2,50,0
350,2024-01-03 18:10:00,L47529,10,0.2,50,1
351,2024-01-03 18:20:00,H29764,10,0.2,46,2
352,2024-01-03 18:30:00,M15211,10,0.2,48,1
353,2024-01-03 18:40:00,M15212,10,0.2,49,0
354,2024-01-03 18:50:00,H29767,10,0.2,45,1
355,2024-01-03 19:00:00,L47534,10,0.2,45,1
356,2024-01-03 19:10:00,L47535,10,0.2,45,0
357,2024-01-03 19:20:00,M15216,10,0.2,46,2
358,2024-01-03 19:30:00,L47537,10,0.2,48,2
359,2024-01-03 19:40:00,M15218,10,0.2,47,1
360,2024-01-03 19:50:00,M15219,10,0.2,50,2
361,2024-01-03 20:00:00,M15220,10,0.2,46,0
362,2024-01-03 20:10:00,L47541,10,0.2,47,2
363,2024-01-03 20:20:00,H29776,10,0.2,50,1
364,2024-01-03 20:30:00,L47543,10,0.2,50,0
365,2024-01-03 20:40:00,L47544,10,0.2,48,0
366,2024-01-03 20:50:00,L47545,10,0.2,49,0
367,2024-01-03 21:00:00,M15226,10,0.2,45,1
368,2024-01-03 21:10:00,M15227,10,0.2,47,1
369,2024-01-03 21:20:00,L47548,10,0.2,46,2
370,2024-01-03 21:30:00,H29783,10,0.2,47,1
371,2024-01-03 21:40:00,M15230,10,0.2,49,0
372,2024-01-03 21:50:00,L47551,10,0.2,45,1
373,2024-01-03 22:00:00,M15232,10,0.2,47,1
374,2024-01-03 22:10:00,L47553,10,0.2,49,2
375,2024-01-03 22:20:00,L47554,10,0.2,46,0
376,2024-01-03 22:30:00,L47555,10,0.2,48,2
377,2024-01-03 22:40:00,M15236,10,0.2,50,2
378,2024-01-03 22:50:00,M15237,10,0.2,46,2
379,2024-01-03 23:00:00,L47558,10,0.2,45,0
380,2024-01-03 23:10:00,L47559,10,0.2,50,2
381,2024-01-03 23:20:00,L47560,10,0.2,5,0
382,2024-01-03 23:30:00,L47561,10,0.2,46,2
383,2024-01-03 23:40:00,L47562,10,0.2,46,2
384,2024-01-03 23:50:00,M15243,10,0.2,46,0
385,2024-01-04 00:00:00,L47564,10,0.2,50,1
386,2024-01-04 00:10:00,M15245,10,0.2,45,2
387,2024-01-04 00:20:00,L47566,10,0.2,49,1
388,2024-01-04 00:30:00,L47567,10,0.2,47,2
389,2024-01-04 00:40:00,L47568,10,0.2,48,1
390,2024-01-04 00:50:00,M15249,10,0.2,47,1
391,2024-01-04 01:00:00,L47570,10,0.2,47,1
392,2024-01-04 01:10:00,L47571,10,0.2,48,1
393,2024-01-04 01:20:00,M15252,10,0.2,50,1
394,2024-01-04 01:30:00,M15253,10,0.2,45,0
395,2024-01-04 01:40:00,L47574,10,0.2,48,1
396,2024-01-04 01:50:00,L47575,10,0.2,45,0
397,2024-01-04 02:00:00,L47576,10,0.2,50,2
398,2024-01-04 02:10:00,M15257,10,0.2,47,0
399,2024-01-04 02:20:00,H29812,10,0.2,45,1
400,2024-01-04 02:30:00,L47579,10,0.2,50,0
401,2024-01-04 02:40:00,L47580,10,0.2,50,1
402,2024-01-04 02:50:00,L47581,10,0.2,49,0
403,2024-01-04 03:00:00,L47582,10,0.2,48,2
404,2024-01-04 03:10:00,L47583,10,0.2,49,1
405,2024-01-04 03:20:00,L47584,10,0.2,47,1
406,2024-01-04 03:30:00,L47585,10,0.2,48,0
407,2024-01-04 03:40:00,L47586,10,0.2,47,0
408,2024-01-04 03:50:00,M15267,10,0.2,49,0
409,2024-01-04 04:00:00,M15268,10,0.2,50,0
410,2024-01-04 04:10:00,L47589,10,0.2,47,0
411,2024-01-04 04:20:00,M15270,10,0.2,48,1
412,2024-01-04 04:30:00,L47591,10,0.2,48,2
413,2024-01-04 04:40:00,L47592,10,0.2,47,0
414,2024-01-04 04:50:00,L47593,10,0.2,48,1
415,2024-01-04 05:00:00,L47594,10,0.2,50,2
416,2024-01-04 05:10:00,L47595,10,0.2,50,2
417,2024-01-04 05:20:00,L47596,10,0.2,48,0
418,2024-01-04 05:30:00,L47597,10,0.2,47,1
419,2024-01-04 05:40:00,L47598,10,0.2,49,1
420,2024-01-04 05:50:00,M15279,10,0.2,48,1
421,2024-01-04 06:00:00,M15280,10,0.2,48,1
422,2024-01-04 06:10:00,M15281,10,0.2,48,1
423,2024-01-04 06:20:00,L47602,10,0.2,48,2
424,2024-01-04 06:30:00,L47603,10,0.2,47,2
425,2024-01-04 06:40:00,L47604,10,0.2,49,2
426,2024-01-04 06:50:00,M15285,10,0.2,49,1
427,2024-01-04 07:00:00,L47606,10,0.2,45,2
428,2024-01-04 07:10:00,M15287,10,0.2,48,2
429,2024-01-04 07:20:00,M15288,10,0.2,48,0
430,2024-01-04 07:30:00,L47609,10,0.2,45,2
431,2024-01-04 07:40:00,L47610,10,0.2,49,0
432,2024-01-04 07:50:00,L47611,10,0.2,46,1
433,2024-01-04 08:00:00,M15292,10,0.2,50,1
434,2024-01-04 08:10:00,M15293,10,0.2,46,1
435,2024-01-04 08:20:00,M15294,10,0.2,49,1
436,2024-01-04 08:30:00,L47615,10,0.2,48,2
437,2024-01-04 08:40:00,L47616,10,0.2,46,0
438,2024-01-04 08:50:00,L47617,10,0.2,47,1
439,2024-01-04 09:00:00,L47618,10,0.2,47,1
440,2024-01-04 09:10:00,M15299,10,0.2,45,0
441,2024-01-04 09:20:00,L47620,10,0.2,49,0
442,2024-01-04 09:30:00,H29855,10,0.2,49,0
443,2024-01-04 09:40:00,L47622,10,0.2,6,0
444,2024-01-04 09:50:00,H29857,10,0.2,48,0
445,2024-01-04 10:00:00,L47624,10,0.2,49,2
446,2024-01-04 10:10:00,L47625,10,0.2,46,0
447,2024-01-04 10:20:00,L47626,10,0.2,46,2
448,2024-01-04 10:30:00,M15307,10,0.2,50,0
449,2024-01-04 10:40:00,L47628,10,0.2,50,0
450,2024-01-04 10:50:00,L47629,10,0.2,49,1
451,2024-01-04 11:00:00,M15310,10,0.2,46,1
452,2024-01-04 11:10:00,H29865,10,0.2,45,1
453,2024-01-04 11:20:00,M15312,10,0.2,45,1
454,2024-01-04 11:30:00,L47633,10,0.2,50,1
455,2024-01-04 11:40:00,L47634,10,0.2,49,1
456,2024-01-04 11:50:00,L47635,10,0.2,48,0
457,2024-01-04 12:00:00,H29870,10,0.2,45,0
458,2024-01-04 12:10:00,L47637,10,0.2,45,1
459,2024-01-04 12:20:00,L47638,10,0.2,50,1
460,2024-01-04 12:30:00,L47639,10,0.2,50,1
461,2024-01-04 12:40:00,H29874,10,0.2,49,0
462,2024-01-04 12:50:00,L47641,10,0.2,50,1
463,2024-01-04 13:00:00,L47642,10,0.2,47,1
464,2024-01-04 13:10:00,L47643,10,0.2,10,0
465,2024-01-04 13:20:00,L47644,10,0.2,45,0
466,2024-01-04 13:30:00,M15325,10,0.2,47,2
467,2024-01-04 13:40:00,L47646,10,0.2,48,1
468,2024-01-04 13:50:00,L47647,10,0.2,47,0
469,2024-01-04 14:00:00,L47648,10,0.2,49,2
470,2024-01-04 14:10:00,M15329,10,0.2,48,0
471,2024-01-04 14:20:00,H29884,10,0.2,48,2
472,2024-01-04 14:30:00,H29885,10,0.2,50,2
473,2024-01-04 14:40:00,M15332,10,0.2,47,1
474,2024-01-04 14:50:00,M15333,10,0.2,49,1
475,2024-01-04 15:00:00,L47654,10,0.2,45,2
476,2024-01-04 15:10:00,L47655,10,0.2,50,1
477,2024-01-04 15:20:00,L47656,10,0.2,47,0
478,2024-01-04 15:30:00,H29891,10,0.2,45,0
